record,task,channel,templateHp,replicate,highpass,condition,timeSec,reference,noisyBeforeHighpass,recovered
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.19921875,-1.87477696790434,-2.57602994456713,-1.92885591224081
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1953125,-1.12580049795016,-1.99279712807293,-1.36115906773272
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.19140625,-0.428848621409135,-1.46529258292237,-0.845987277164549
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1875,0.143012380778597,-1.06882689885628,-0.453959243981482
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.18359375,0.522000753283579,-0.872041276056109,-0.254697589702194
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1796875,0.664974628208778,-0.90909333598732,-0.284453931365499
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.17578125,0.564556120714406,-1.16341950952903,-0.528098458846548
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.171875,0.251657424793448,-1.56949024389908,-0.926696553393865
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.16796875,-0.209947365156307,-2.03028654276204,-1.38553870608404
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1640625,-0.735262591103639,-2.44210096052002,-1.80247301162967
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.16015625,-1.23324421216401,-2.7240892257895,-2.1001621571042
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.15625,-1.62235711033287,-2.83467677677836,-2.23524091211393
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.15234375,-1.84355671732093,-2.77259719792143,-2.20008071357265
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1484375,-1.86854608744193,-2.56606713554141,-2.01905801848112
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.14453125,-1.70233201838414,-2.25666978381001,-1.73456709269626
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.140625,-1.38026958429264,-1.88662653859213,-1.39099513956467
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.13671875,-0.960639389487026,-1.49172615236196,-1.02832558528848
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1328125,-0.514239341325403,-1.10766015680652,-0.685886621537579
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.12890625,-0.112597353969588,-0.770407997007752,-0.400734887715708
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.125,0.183579280529365,-0.50977410571184,-0.199644757225093
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.12109375,0.334089015915894,-0.345619897065448,-0.095478523611629
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1171875,0.325468748007144,-0.275473463142181,-0.0822066009088917
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.11328125,0.172471157663028,-0.277722914448516,-0.137351984228405
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.109375,-0.0858330163866781,-0.318176697566645,-0.227297430340553
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.10546875,-0.394882051531156,-0.360753713795249,-0.317518230177967
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.1015625,-0.696712264562191,-0.375897316315725,-0.380742674367052
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.09765625,-0.942624348574509,-0.345309425638432,-0.400913117353891
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.09375,-1.10330126432822,-0.259397762836213,-0.370348728031275
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.08984375,-1.17364456160309,-0.116722477149087,-0.28794114093114
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.0859375,-1.17085777157325,0.0695585141343773,-0.16538238490536
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.08203125,-1.12618051038233,0.272171955911384,-0.0255447781464009
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.078125,-1.07263425967675,0.463945585378804,0.106979744651426
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.07421875,-1.03251559111555,0.611632755913859,0.199071519098927
VisualCogA_Task-2,2,F3,0.1,1,0.1,Left,-0.0703125,-1.00861290464658,0.689632939102338,0.218334923377367
