record,task,channel,nCalibration,baselineLevelMad,baselineStdMedian,peakToPeakMedian,peakToPeakQ75,maxJumpQ75,driftAmplitude,shiftSd,coloredNoiseSd,spikeAmplitude,burstAmplitude,driftFrequencyLow,driftFrequencyHigh,coloredPhi,burstFrequency,burstDurationSec,spikeProbability,burstProbability
VisualCogA_Task-1,1,Fz,44,19.7272785534447,8.48920138749394,62.2873273823148,109.864957656214,21.2405584802016,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409,0.0546875,0.1171875,0.758122137527198,8.5,0.04,0.12,0.15
VisualCogA_Task-1,1,F3,44,129.267969787137,9.79655791094208,112.428473334859,159.822995345998,29.5567254139009,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131,0.0234375,0.140625,0.837092094612794,8,0.04,0.12,0.15
VisualCogA_Task-1,1,F4,44,162.184472419318,10.1143884426128,130.464637216754,182.101167315175,26.8558785381857,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192,0.046875,0.09375,0.896102218319834,7.5,0.04,0.12,0.15
VisualCogA_Task-2,2,Fz,56,215.959404898146,10.4054911589421,205.554283970397,288.120851453422,19.3179217212175,72.0302128633555,72.0302128633555,5.20274557947107,19.3179217212175,15.6082367384132,0.0625,0.1171875,0.94445762957927,6,0.04,0.12,0.15
VisualCogA_Task-2,2,F3,56,329.572240787366,12.6789685707452,249.805447470817,462.653543907836,28.7632562752729,115.663385976959,115.663385976959,6.33948428537259,28.7632562752729,19.0184528561178,0.0625,0.1171875,0.942649427890512,5,0.04,0.12,0.15
VisualCogA_Task-2,2,F4,56,272.426477454795,11.0097985612595,285.648889906157,431.937132829786,21.4236667429619,107.984283207446,107.984283207446,5.50489928062973,21.4236667429619,16.5146978418892,0.078125,0.1171875,0.953284676393633,5,0.04,0.12,0.15
VisualCogB_Task-1,1,Fz,52,150.239514763104,12.3813062717649,163.179980163272,316.243228809033,26.5812161440452,75.1197573815518,79.0608072022583,6.19065313588246,26.5812161440452,18.5719594076474,0.0625,0.09375,0.927142685970669,5,0.04,0.12,0.15
VisualCogB_Task-1,1,F3,52,118.250556191348,12.156633600181,162.615396353094,291.279468986038,36.9268329900054,59.125278095674,72.8198672465095,6.07831680009051,36.9268329900054,18.2349504002715,0.0703125,0.171875,0.874007649840888,5,0.04,0.12,0.15
VisualCogB_Task-1,1,F4,52,100.242627603571,12.7798375900287,154.421301594568,264.225223163195,28.0460822461281,50.1213138017854,66.0563057907988,6.38991879501433,28.0460822461281,19.169756385043,0.0625,0.109375,0.932136141793532,6.5,0.04,0.12,0.15
VisualCogB_Task-2,2,Fz,51,167.45563744564,15.8568036164888,269.993133440147,487.876707103075,18.4328984512093,83.7278187228199,121.969176775769,7.9284018082444,18.4328984512093,23.7852054247332,0.078125,0.1171875,0.976284973676675,4,0.04,0.12,0.15
VisualCogB_Task-2,2,F3,51,284.869141680018,15.9004816949054,210.39139391165,447.508964675364,24.5975432974747,111.877241168841,111.877241168841,7.95024084745268,24.5975432974747,23.850722542358,0.078125,0.1171875,0.978570973278152,4,0.04,0.12,0.15
VisualCogB_Task-2,2,F4,51,274.236319523918,14.2956458742675,296.360723277638,608.148317692836,21.0040436408026,137.118159761959,152.037079423209,7.14782293713375,21.0040436408026,21.4434688114013,0.0625,0.1171875,0.982881545976155,4,0.04,0.12,0.15
