record,task,channel,highpass,timeSec,left,right,delta,left_huber,right_huber,delta_huber
A,1,Fz,0.1,-0.80078125,NaN,NaN,NaN,-3.09899514779779,3.26052685289335,6.35952200069114
A,1,Fz,0.1,-0.796875,NaN,NaN,NaN,-3.09080060564931,3.47391855765372,6.56471916330303
A,1,Fz,0.1,-0.79296875,NaN,NaN,NaN,-3.18450253807391,3.8583869052684,7.04288944334231
A,1,Fz,0.1,-0.7890625,NaN,NaN,NaN,-3.17327353194858,3.87432984026492,7.0476033722135
A,1,Fz,0.1,-0.78515625,NaN,NaN,NaN,-2.71248192686357,3.06375791363585,5.77623984049941
A,1,Fz,0.1,-0.78125,NaN,NaN,NaN,-2.19713745172529,2.76548009498465,4.96261754670994
A,1,Fz,0.1,-0.77734375,NaN,NaN,NaN,-1.12703650291004,2.91289922761997,4.03993573053001
A,1,Fz,0.1,-0.7734375,NaN,NaN,NaN,-0.425185190828567,2.87140742010789,3.29659261093645
A,1,Fz,0.1,-0.76953125,NaN,NaN,NaN,0.280402331594144,3.55284045200932,3.27243812041517
A,1,Fz,0.1,-0.765625,NaN,NaN,NaN,0.585978420839456,3.72498767094656,3.13900925010711
A,1,Fz,0.1,-0.76171875,NaN,NaN,NaN,0.346313708178126,3.46770592961994,3.12139222144182
A,1,Fz,0.1,-0.7578125,NaN,NaN,NaN,0.119731868011696,3.38964274491054,3.26991087689884
A,1,Fz,0.1,-0.75390625,NaN,NaN,NaN,-0.844383466073816,3.45991339913747,4.30429686521129
A,1,Fz,0.1,-0.75,NaN,NaN,NaN,-1.33277073224363,3.77993630435912,5.11270703660275
A,1,Fz,0.1,-0.74609375,NaN,NaN,NaN,-1.44511000012539,4.17018563766894,5.61529563779433
A,1,Fz,0.1,-0.7421875,NaN,NaN,NaN,-1.45412351612058,4.28386470586745,5.73798822198803
A,1,Fz,0.1,-0.73828125,NaN,NaN,NaN,-0.841507868535309,3.88896652204936,4.73047439058467
A,1,Fz,0.1,-0.734375,NaN,NaN,NaN,-0.0830453889204424,2.98526004618822,3.06830543510866
A,1,Fz,0.1,-0.73046875,NaN,NaN,NaN,0.74854899926155,2.62014521756923,1.87159621830768
A,1,Fz,0.1,-0.7265625,NaN,NaN,NaN,1.40533870001477,1.80518486947472,0.399846169459944
A,1,Fz,0.1,-0.72265625,NaN,NaN,NaN,1.14963297245322,1.09704257487238,-0.0525903975808402
A,1,Fz,0.1,-0.71875,NaN,NaN,NaN,0.889528984889443,0.734843427430607,-0.154685557458836
A,1,Fz,0.1,-0.71484375,NaN,NaN,NaN,1.04628130969181,0.392858954576916,-0.653422355114893
A,1,Fz,0.1,-0.7109375,NaN,NaN,NaN,0.796448735988084,0.526612140950957,-0.269836595037127
A,1,Fz,0.1,-0.70703125,NaN,NaN,NaN,0.25319281385574,1.75462191417559,1.50142910031985
A,1,Fz,0.1,-0.703125,NaN,NaN,NaN,-0.194330563742558,2.02057425752031,2.21490482126287
A,1,Fz,0.1,-0.69921875,NaN,NaN,NaN,-0.297759065635405,2.09687250654632,2.39463157218173
A,1,Fz,0.1,-0.6953125,NaN,NaN,NaN,-0.171464829495872,2.07597362866183,2.24743845815771
A,1,Fz,0.1,-0.69140625,NaN,NaN,NaN,-0.648452069132744,2.20241312988751,2.85086519902025
A,1,Fz,0.1,-0.6875,NaN,NaN,NaN,-0.53254530280994,1.88913281767238,2.42167812048232
A,1,Fz,0.1,-0.68359375,NaN,NaN,NaN,-0.478052059929487,1.27751175058467,1.75556381051416
A,1,Fz,0.1,-0.6796875,NaN,NaN,NaN,-0.363036962405881,0.390751679972933,0.753788642378814
A,1,Fz,0.1,-0.67578125,NaN,NaN,NaN,0.548075674576421,-0.671569332798429,-1.21964500737485
A,1,Fz,0.1,-0.671875,NaN,NaN,NaN,1.13652207846665,-1.45101435425781,-2.58753643272446
A,1,Fz,0.1,-0.66796875,NaN,NaN,NaN,1.38894073591551,-1.84185997649689,-3.2308007124124
A,1,Fz,0.1,-0.6640625,NaN,NaN,NaN,1.37524106298695,-1.77986929116747,-3.15511035415442
A,1,Fz,0.1,-0.66015625,NaN,NaN,NaN,1.47090042678143,-1.41573416620091,-2.88663459298235
A,1,Fz,0.1,-0.65625,NaN,NaN,NaN,1.4393246888197,-0.60253981976036,-2.04186450858006
A,1,Fz,0.1,-0.65234375,NaN,NaN,NaN,1.43154493003368,0.359510629241219,-1.07203430079246
A,1,Fz,0.1,-0.6484375,NaN,NaN,NaN,1.60874763700778,0.908698895969774,-0.700048741038007
A,1,Fz,0.1,-0.64453125,NaN,NaN,NaN,1.25350814224013,1.09128679870193,-0.162221343538192
A,1,Fz,0.1,-0.640625,NaN,NaN,NaN,0.989050137078634,0.658130689291114,-0.33091944778752
A,1,Fz,0.1,-0.63671875,NaN,NaN,NaN,0.989136899528604,-0.0939227198946013,-1.08305961942321
A,1,Fz,0.1,-0.6328125,NaN,NaN,NaN,0.607979714057936,-0.781041080717835,-1.38902079477577
A,1,Fz,0.1,-0.62890625,NaN,NaN,NaN,0.851517890161614,-1.18759338893881,-2.03911127910042
A,1,Fz,0.1,-0.625,NaN,NaN,NaN,0.896002487749697,-1.19527128860419,-2.09127377635389
A,1,Fz,0.1,-0.62109375,NaN,NaN,NaN,0.906564703537332,-0.983184794619979,-1.88974949815731
A,1,Fz,0.1,-0.6171875,NaN,NaN,NaN,0.557104716940609,-0.522893914832556,-1.07999863177316
A,1,Fz,0.1,-0.61328125,NaN,NaN,NaN,0.229175638514916,0.32297869588221,0.0938030573672936
A,1,Fz,0.1,-0.609375,NaN,NaN,NaN,-0.137316209050896,0.836710982776365,0.97402719182726
A,1,Fz,0.1,-0.60546875,NaN,NaN,NaN,-0.301255157544334,1.32920532969595,1.63046048724029
A,1,Fz,0.1,-0.6015625,NaN,NaN,NaN,-0.328393753427791,1.95472853318606,2.28312228661385
A,1,Fz,0.1,-0.59765625,NaN,NaN,NaN,-0.0621860010195861,2.55502678128711,2.6172127823067
A,1,Fz,0.1,-0.59375,NaN,NaN,NaN,0.139997499661611,2.66588411063777,2.52588661097615
A,1,Fz,0.1,-0.58984375,NaN,NaN,NaN,0.472308657591509,2.52701728565111,2.0547086280596
A,1,Fz,0.1,-0.5859375,NaN,NaN,NaN,0.170860326978737,2.18257883221068,2.01171850523194
A,1,Fz,0.1,-0.58203125,NaN,NaN,NaN,-0.436586738767675,2.18927181310163,2.6258585518693
A,1,Fz,0.1,-0.578125,NaN,NaN,NaN,-0.720691673262242,2.07197873899052,2.79267041225276
A,1,Fz,0.1,-0.57421875,NaN,NaN,NaN,-0.755305947810946,2.12994182650198,2.88524777431292
A,1,Fz,0.1,-0.5703125,NaN,NaN,NaN,-0.872677369644633,2.18833389788753,3.06101126753217
A,1,Fz,0.1,-0.56640625,NaN,NaN,NaN,-1.01824162756516,2.3533851091899,3.37162673675506
A,1,Fz,0.1,-0.5625,NaN,NaN,NaN,-0.715530413374718,2.42801722595471,3.14354763932943
A,1,Fz,0.1,-0.55859375,NaN,NaN,NaN,0.105596415397435,2.19721637664653,2.0916199612491
A,1,Fz,0.1,-0.5546875,NaN,NaN,NaN,0.441702694272658,2.01429829506319,1.57259560079054
A,1,Fz,0.1,-0.55078125,NaN,NaN,NaN,0.310934013094929,2.2674309454127,1.95649693231777
A,1,Fz,0.1,-0.546875,NaN,NaN,NaN,-0.0909203204400691,1.95711618965479,2.04803651009486
A,1,Fz,0.1,-0.54296875,NaN,NaN,NaN,-0.457468650868222,1.72457622702377,2.18204487789199
A,1,Fz,0.1,-0.5390625,NaN,NaN,NaN,-0.492080295555077,2.06325004960803,2.5553303451631
A,1,Fz,0.1,-0.53515625,NaN,NaN,NaN,-0.118435842551207,1.79939861106281,1.91783445361401
A,1,Fz,0.1,-0.53125,NaN,NaN,NaN,0.344878903989355,1.50446641978964,1.15958751580029
A,1,Fz,0.1,-0.52734375,NaN,NaN,NaN,0.590601849376834,1.00612887924152,0.415527029864691
A,1,Fz,0.1,-0.5234375,NaN,NaN,NaN,0.613592286836189,0.586163059923644,-0.0274292269125446
A,1,Fz,0.1,-0.51953125,NaN,NaN,NaN,0.24147196228878,0.477677127227037,0.236205164938258
A,1,Fz,0.1,-0.515625,NaN,NaN,NaN,-0.558511897355449,0.814877486054754,1.3733893834102
A,1,Fz,0.1,-0.51171875,NaN,NaN,NaN,-1.07473088704266,1.49945962654916,2.57419051359182
A,1,Fz,0.1,-0.5078125,NaN,NaN,NaN,-1.89125154060515,2.24269790270775,4.13394944331291
A,1,Fz,0.1,-0.50390625,NaN,NaN,NaN,-2.32701979826329,2.7671055208483,5.09412531911159
A,1,Fz,0.1,-0.5,NaN,NaN,NaN,-2.75515180473723,2.81280035213988,5.5679521568771
A,1,Fz,0.1,-0.49609375,NaN,NaN,NaN,-3.00927179574356,2.20923914138514,5.2185109371287
A,1,Fz,0.1,-0.4921875,NaN,NaN,NaN,-2.57488672417335,1.15393358283895,3.7288203070123
A,1,Fz,0.1,-0.48828125,NaN,NaN,NaN,-2.52102946192936,0.557673158804965,3.07870262073432
A,1,Fz,0.1,-0.484375,NaN,NaN,NaN,-1.70418037011992,0.51847871924921,2.22265908936913
A,1,Fz,0.1,-0.48046875,NaN,NaN,NaN,-0.920446380753737,0.667627586166451,1.58807396692019
A,1,Fz,0.1,-0.4765625,NaN,NaN,NaN,0.210671507530332,0.93925699322054,0.728585485690208
A,1,Fz,0.1,-0.47265625,NaN,NaN,NaN,1.22246095766881,1.14342691996391,-0.0790340377048995
A,1,Fz,0.1,-0.46875,NaN,NaN,NaN,1.81908921392753,1.08917676037438,-0.729912453553145
A,1,Fz,0.1,-0.46484375,NaN,NaN,NaN,2.33509292473327,0.780650411543842,-1.55444251318942
A,1,Fz,0.1,-0.4609375,NaN,NaN,NaN,2.71577558752413,0.631143148704406,-2.08463243881972
A,1,Fz,0.1,-0.45703125,NaN,NaN,NaN,2.96324740053391,0.79529653992172,-2.16795086061219
A,1,Fz,0.1,-0.453125,NaN,NaN,NaN,3.04807429427976,0.421216019056802,-2.62685827522295
A,1,Fz,0.1,-0.44921875,NaN,NaN,NaN,2.88305961171302,0.353014481135568,-2.53004513057745
A,1,Fz,0.1,-0.4453125,NaN,NaN,NaN,2.46497150665721,0.489017032979603,-1.97595447367761
A,1,Fz,0.1,-0.44140625,NaN,NaN,NaN,1.87355702864059,0.53528696612222,-1.33827006251837
A,1,Fz,0.1,-0.4375,NaN,NaN,NaN,1.07185772222734,0.459740854189651,-0.612116868037686
A,1,Fz,0.1,-0.43359375,NaN,NaN,NaN,0.349291077602207,0.278761523726609,-0.0705295538755977
A,1,Fz,0.1,-0.4296875,NaN,NaN,NaN,-0.196732929447514,0.264448389696905,0.46118131914442
A,1,Fz,0.1,-0.42578125,NaN,NaN,NaN,-0.43756017622049,0.346227753746318,0.783787929966808
A,1,Fz,0.1,-0.421875,NaN,NaN,NaN,-0.210628526522912,0.227419093895587,0.438047620418499
A,1,Fz,0.1,-0.41796875,NaN,NaN,NaN,0.115113999045072,0.160359454487148,0.0452454554420764
A,1,Fz,0.1,-0.4140625,NaN,NaN,NaN,0.606718118050144,0.308262785794416,-0.298455332255728
A,1,Fz,0.1,-0.41015625,NaN,NaN,NaN,0.633332405028186,0.530291499154482,-0.103040905873704
A,1,Fz,0.1,-0.40625,NaN,NaN,NaN,0.316516286579773,0.627440856717083,0.31092457013731
A,1,Fz,0.1,-0.40234375,NaN,NaN,NaN,-0.0376622421936674,0.460820500388303,0.498482742581971
A,1,Fz,0.1,-0.3984375,NaN,NaN,NaN,-0.429256130627742,0.435771731947789,0.865027862575531
A,1,Fz,0.1,-0.39453125,NaN,NaN,NaN,-0.784634193844432,0.367615719144158,1.15224991298859
A,1,Fz,0.1,-0.390625,NaN,NaN,NaN,-0.958479238960987,-0.0222594279826727,0.936219810978314
A,1,Fz,0.1,-0.38671875,NaN,NaN,NaN,-0.815725148269246,-0.62185156747265,0.193873580796596
A,1,Fz,0.1,-0.3828125,NaN,NaN,NaN,-0.437770780229232,-1.28687499636384,-0.849104216134605
A,1,Fz,0.1,-0.37890625,NaN,NaN,NaN,0.18669971394742,-1.95570550917263,-2.14240522312005
A,1,Fz,0.1,-0.375,NaN,NaN,NaN,0.860934509110314,-2.62770607085148,-3.4886405799618
A,1,Fz,0.1,-0.37109375,NaN,NaN,NaN,1.53608841820357,-2.8654519086787,-4.40154032688227
A,1,Fz,0.1,-0.3671875,NaN,NaN,NaN,1.95099843425814,-2.6732986261798,-4.62429706043794
A,1,Fz,0.1,-0.36328125,NaN,NaN,NaN,1.8557673162834,-2.06402338773211,-3.91979070401551
A,1,Fz,0.1,-0.359375,NaN,NaN,NaN,1.5714883577032,-2.00446622376753,-3.57595458147073
A,1,Fz,0.1,-0.35546875,NaN,NaN,NaN,1.01771970727565,-2.09781233054035,-3.115532037816
A,1,Fz,0.1,-0.3515625,NaN,NaN,NaN,0.389187629089944,-1.6623142149649,-2.05150184405485
A,1,Fz,0.1,-0.34765625,NaN,NaN,NaN,-0.0462593131998092,-1.24974455496518,-1.20348524176537
A,1,Fz,0.1,-0.34375,NaN,NaN,NaN,-0.271226998747441,-0.737044192678923,-0.465817193931482
A,1,Fz,0.1,-0.33984375,NaN,NaN,NaN,-0.413435570488223,-0.404599806872734,0.00883576361548938
A,1,Fz,0.1,-0.3359375,NaN,NaN,NaN,-0.661805787722465,0.175957579700519,0.837763367422984
A,1,Fz,0.1,-0.33203125,NaN,NaN,NaN,-0.753680074724461,0.425545807039524,1.17922588176399
A,1,Fz,0.1,-0.328125,NaN,NaN,NaN,-1.01588030881203,0.486480262618414,1.50236057143044
A,1,Fz,0.1,-0.32421875,NaN,NaN,NaN,-1.32246725571546,0.182781826889898,1.50524908260535
