record,task,channel,highpass,variant,half_width_sec,target_replaced,click_replaced,n_accepted,modified_samples,modified_fraction,delta_huber_250_500,delta_fit_250_500,change_huber,change_fit
A,2,F4,0.5,both_015,0.15,1,1,93,15400,0.0669108478125801,0.0065668884972564,0.0226687689348345,-0.00239091211156503,-0.00263479992675825
A,2,Fz,0.5,both_030,0.3,1,1,93,31000,0.134690667674674,3.84884658927192,3.86369212180093,-0.0721540286233666,-0.0723474481029793
A,2,F3,0.5,both_030,0.3,1,1,93,31000,0.134690667674674,18.4460645013118,18.4499953341421,-0.0874407499508791,-0.0876437913402164
A,2,F4,0.5,both_030,0.3,1,1,93,31000,0.134690667674674,-0.198548882013405,-0.181970985363192,-0.207506682622227,-0.207274554224785
A,2,Fz,0.5,target_030,0.3,1,0,93,15500,0.0673453338373371,3.85278986683259,3.86763732436909,-0.0682107510626961,-0.0684022455348154
A,2,F3,0.5,target_030,0.3,1,0,93,15500,0.0673453338373371,18.4369414257918,18.4408367323183,-0.0965638254708736,-0.096802393164058
A,2,F4,0.5,target_030,0.3,1,0,93,15500,0.0673453338373371,-0.192121920275982,-0.175539971556948,-0.201079720884803,-0.200843540418541
A,2,Fz,0.5,click_030,0.3,0,1,93,15500,0.0673453338373371,3.91725823292992,3.9322790379403,-0.0037423849653706,-0.00376053196360804
A,2,F3,0.5,click_030,0.3,0,1,93,15500,0.0673453338373371,18.5424275253431,18.5465438832932,0.00892227408035851,0.00890475781081435
A,2,F4,0.5,click_030,0.3,0,1,93,15500,0.0673453338373371,0.0028357232738678,0.0191756025197158,-0.00612207733495362,-0.00612796634187693
B,1,Fz,0.1,original,0,0,0,87,0,0,-1.48592950400451,-1.4804878852214,0,0
B,1,F3,0.1,original,0,0,0,87,0,0,-13.4424081523072,-13.4314987668633,0,0
B,1,F4,0.1,original,0,0,0,87,0,0,-22.9850553395515,-22.9949312192357,0,0
B,1,Fz,0.1,both_015,0.15,1,1,87,7700,0.034528373803278,-1.38070524133917,-1.37396653652296,0.105224262665345,0.106521348698439
B,1,F3,0.1,both_015,0.15,1,1,87,7700,0.034528373803278,-13.4509206053441,-13.4404603542472,-0.00851245303694803,-0.0089615873838742
B,1,F4,0.1,both_015,0.15,1,1,87,7700,0.034528373803278,-22.9759012225577,-22.9851786509891,0.00915411699372726,0.00975256824663973
B,1,Fz,0.1,both_030,0.3,1,1,87,15500,0.0695051680455595,-1.59959507081665,-1.59214132394197,-0.11366556681213,-0.111653438720578
B,1,F3,0.1,both_030,0.3,1,1,87,15500,0.0695051680455595,-13.4968473470158,-13.486247157352,-0.0544391947085945,-0.0547483904887009
B,1,F4,0.1,both_030,0.3,1,1,87,15500,0.0695051680455595,-23.0176611524612,-23.0286394698085,-0.0326058129097007,-0.0337082505728254
B,1,Fz,0.1,target_030,0.3,1,0,87,15500,0.0695051680455595,-1.59959507081665,-1.59214132394197,-0.11366556681213,-0.111653438720578
B,1,F3,0.1,target_030,0.3,1,0,87,15500,0.0695051680455595,-13.4968473470158,-13.486247157352,-0.0544391947085945,-0.0547483904887009
B,1,F4,0.1,target_030,0.3,1,0,87,15500,0.0695051680455595,-23.0176611524612,-23.0286394698085,-0.0326058129097007,-0.0337082505728254
B,1,Fz,0.5,original,0,0,0,87,0,0,-4.54685809120119,-4.53153585500728,0,0
B,1,F3,0.5,original,0,0,0,87,0,0,2.93698551058591,2.93727456701019,0,0
B,1,F4,0.5,original,0,0,0,87,0,0,-2.90932620147247,-2.91004957864378,0,0
B,1,Fz,0.5,both_015,0.15,1,1,87,7700,0.034528373803278,-4.5618430566304,-4.54655303653497,-0.014984965429206,-0.0150171815276856
B,1,F3,0.5,both_015,0.15,1,1,87,7700,0.034528373803278,2.93145659998405,2.93143423032225,-0.00552891060186322,-0.00584033668794603
B,1,F4,0.5,both_015,0.15,1,1,87,7700,0.034528373803278,-2.91206360439821,-2.91268669732304,-0.00273740292574143,-0.00263711867925887
B,1,Fz,0.5,both_030,0.3,1,1,87,15500,0.0695051680455595,-4.47387351192865,-4.45764162604565,0.0729845792725472,0.0738942289616364
B,1,F3,0.5,both_030,0.3,1,1,87,15500,0.0695051680455595,3.00682160887339,3.00660479614949,0.0698360982874751,0.0693302291393012
B,1,F4,0.5,both_030,0.3,1,1,87,15500,0.0695051680455595,-2.90955389610901,-2.9097334386374,-0.000227694636543596,0.000316140006382248
B,1,Fz,0.5,target_030,0.3,1,0,87,15500,0.0695051680455595,-4.47387351192865,-4.45764162604565,0.0729845792725472,0.0738942289616364
B,1,F3,0.5,target_030,0.3,1,0,87,15500,0.0695051680455595,3.00682160887339,3.00660479614949,0.0698360982874751,0.0693302291393012
B,1,F4,0.5,target_030,0.3,1,0,87,15500,0.0695051680455595,-2.90955389610901,-2.9097334386374,-0.000227694636543596,0.000316140006382248
B,2,Fz,0.1,original,0,0,0,90,0,0,-3.20092450028977,-3.19141480691707,0,0
B,2,F3,0.1,original,0,0,0,90,0,0,19.5487196592735,19.548057209153,0,0
B,2,F4,0.1,original,0,0,0,90,0,0,9.10094047482615,9.07367214747423,0,0
B,2,Fz,0.1,both_015,0.15,1,1,90,15400,0.0674462400910962,-3.23006588337664,-3.2203144850717,-0.0291413830868654,-0.0288996781546245
B,2,F3,0.1,both_015,0.15,1,1,90,15400,0.0674462400910962,19.5570262822633,19.5564781584137,0.00830662298977458,0.00842094926074566
B,2,F4,0.1,both_015,0.15,1,1,90,15400,0.0674462400910962,9.09140194803355,9.06401576878486,-0.00953852679259803,-0.0096563786893693
B,2,Fz,0.1,both_030,0.3,1,1,90,31000,0.135768405378181,-3.33965667561722,-3.33044114990668,-0.138732175327444,-0.139026342989609
B,2,F3,0.1,both_030,0.3,1,1,90,31000,0.135768405378181,19.4842321759669,19.4832852309577,-0.0644874833065963,-0.0647719781952674
B,2,F4,0.1,both_030,0.3,1,1,90,31000,0.135768405378181,8.84238929569995,8.81501268776089,-0.258551179126201,-0.258659459713344
B,2,Fz,0.1,target_030,0.3,1,0,90,15500,0.0678842026890903,-3.33013773613849,-3.32138476065611,-0.129213235848719,-0.129969953739035
B,2,F3,0.1,target_030,0.3,1,0,90,15500,0.0678842026890903,19.408999857964,19.4066484296688,-0.13971980130945,-0.141408779484216
B,2,F4,0.1,target_030,0.3,1,0,90,15500,0.0678842026890903,8.83053076443816,8.80252519580265,-0.270409710387986,-0.271146951671586
B,2,Fz,0.1,click_030,0.3,0,1,90,15500,0.0678842026890903,-3.21451753273026,-3.20462423733717,-0.0135930324404927,-0.0132094304201003
B,2,F3,0.1,click_030,0.3,0,1,90,15500,0.0678842026890903,19.6273631514966,19.6275641013372,0.078643492223101,0.0795068921842415
B,2,F4,0.1,click_030,0.3,0,1,90,15500,0.0678842026890903,9.11508653756465,9.08807516462842,0.0141460627385026,0.0144030171541871
B,2,Fz,0.5,original,0,0,0,90,0,0,-0.404549467634118,-0.385393615109668,0,0
B,2,F3,0.5,original,0,0,0,90,0,0,3.29097441615903,3.29141102762666,0,0
B,2,F4,0.5,original,0,0,0,90,0,0,9.6339895451788,9.62418196304812,0,0
