record,task,channel,highpass,n_left,n_right,baseline_rms,baseline_mad,baseline_variance,trial_to_trial_variance,split_half_r,split_half_left_r,split_half_right_r,split_half_mean_abs_diff,bootstrap_ci_low,bootstrap_ci_high,bootstrap_width,bootstrap_waveform_sd,left_mean_250_500,right_mean_250_500,delta_mean_250_500,left_peak,right_peak,delta_peak,left_latency,right_latency,delta_latency,left_auc,right_auc,delta_auc,delta_min,delta_positive_fraction,baseline_mean_left,baseline_mean_right,baseline_difference,baseline_slope_left,baseline_slope_right,baseline_slope_difference,baseline_early_difference,baseline_late_difference,left_waveform_r_vs_0p1,right_waveform_r_vs_0p1,delta_waveform_r_vs_0p1,delta_waveform_rmse_vs_0p1,left_peak_change_vs_0p1,right_peak_change_vs_0p1,delta_peak_change_vs_0p1,left_latency_shift_ms_vs_0p1,right_latency_shift_ms_vs_0p1,delta_latency_shift_ms_vs_0p1,pre_stimulus_delta_rms,pre_stimulus_delta_zero_crossings,waveform_stability
A,1,Fz,0.1,41,39,8.62829226396934,7.58889628768571,74.4656787843322,187.103653724779,0.0438263323359353,0.83657854586119,0.637177966966972,2.74474014618154,-8.28175912512114,-0.175009402594862,8.10674972252627,3.80762597489899,7.50811981062341,3.55514001470053,-3.95297979592288,11.9656965604139,8.85114303302962,-0.51848040348384,0.3359375,0.359375,0.3671875,1.85630302129873,0.892757806413848,-0.96354521488488,-7.45873394720278,0,0.92084938848957,0.607069118723194,-0.313780269766375,-0.862664084049657,-4.84757642467013,-3.98491234062047,-0.134390953020931,-0.310947352371613,1,1,1,0,0,0,0,0,0,0,2.40336003967878,1,0.962395688071138
A,1,F3,0.1,41,39,13.8055142095875,9.10777687001738,190.638947823431,5613.68481731338,-0.113983888274718,0.28735354805903,0.105807308768384,14.9893823791851,-9.05051372346795,37.7870661107604,46.8375798342283,12.073092199918,-16.0280896607062,-3.63626659833885,12.3918230623673,-14.1548459173377,0.313330219822291,15.3666281110012,0.3828125,0.35546875,0.34765625,-3.945092777686,-0.880114608550661,3.06497816913534,6.81547504244304,1,17.9523884576547,1.68994941607713,-16.2624390415776,-37.5640417824204,8.33459915133258,45.898640933753,-20.5588137757448,-10.738571200766,1,1,1,0,0,0,0,0,0,0,17.1870092640271,3,0.827604995258752
A,1,F4,0.1,41,39,14.6089640743268,10.1008994011645,213.474153421397,5999.16609628547,-0.433418231235671,0.400217368187719,0.301791873501578,18.7231058627685,-16.4784889217413,36.0018653098598,52.4803542316011,14.29503235295,-15.02118036333,-4.09261623521534,10.9285641281146,-9.52979745764636,0.166919169507955,14.420328973697,0.37890625,0.3515625,0.4140625,-3.68515242788331,-0.986423341688027,2.69872908619529,7.34238485635004,1,11.8143587020588,-0.863600536348778,-12.6779592384076,-22.1820236163212,6.74769913641367,28.9297227527349,-13.3678573841254,-6.52128054625419,1,1,1,0,0,0,0,0,0,0,11.3617850373978,3,0.807982255966301
A,1,Fz,0.2,41,39,8.49158634128065,7.60278903746982,72.1247162179481,118.699199288361,-0.0463669427693354,0.790735050057581,0.603597898490071,2.85816213412125,-6.95346650882458,0.946328562756124,7.89979507158071,3.42692148523634,6.06230134158005,3.13442016989088,-2.92788117168916,10.7233150368373,8.28464950107398,0.665007102907385,0.3359375,0.359375,0.3671875,1.49882695803637,0.788856690201481,-0.70997026783489,-6.60635898032738,0.09375,0.985168202388285,0.431231000822087,-0.553937201566198,-0.26942620909418,-6.64938233403334,-6.37995612493916,-0.411639711559988,-0.401507888086486,0.99503574543221,0.994006827966398,0.961592799841779,1.49553954805929,-1.24238152357662,-0.566493531955638,1.18348750639123,0,0,0,2.39066688354765,2,0.984940963569356
A,1,F3,0.2,41,39,12.088748194359,8.87888180744207,146.173659784015,3296.87150495919,-0.138908020755484,0.34388250365619,0.0482812474793209,11.6584754502402,-14.9692903316523,25.0945985625595,40.0638888942118,10.6262066183862,-8.03367535237891,-3.58559465808167,4.44808069429723,-6.48309347729949,0.0110811475840023,7.22478098618895,0.390625,0.359375,0.4140625,-1.9770749950085,-0.86664692449431,1.11042807051419,-1.25700623152858,0.953125,7.88485468853785,-0.454221435232843,-8.33907612377069,-11.6375690910721,10.1816849794396,21.8192540705117,-9.28780763408799,-7.66313018336841,0.827061680875403,0.944078654185899,0.898540414976456,7.73459516746025,7.67175244003818,-0.302249072238288,-8.14184712481229,7.8125,3.90625,66.40625,9.31605131806721,4,0.9148914350256
A,1,F4,0.2,41,39,12.3998359389609,9.45119198743398,153.793625829281,3598.06212772908,-0.430033668920115,0.577122135595768,0.204664411009804,11.0704390071279,-9.47253835741528,24.067144256625,33.5396826140403,10.8306070477462,-6.23944865487772,1.82290744195043,8.06235609682815,-3.69685079137501,5.81749446625245,12.3024532910958,0.3203125,0.37109375,0.41796875,-1.52916664695558,0.466711157951645,1.99587780490722,3.22053243371474,1,3.4039753724519,-1.32368472489581,-4.72766009734771,-2.97057609211292,8.10392466745514,11.0745007595681,-4.47795296825239,-4.06870572230316,0.80312936903108,0.677735823486951,0.839716782161908,3.50988016337619,5.83294666627135,5.65057529674449,-2.11787568260118,-58.59375,19.53125,3.90625,5.37867623472632,3,0.869275491080063
A,1,Fz,0.25,41,39,8.45626774043211,7.5290734970389,71.5259949789951,105.333210109514,-0.160528596154896,0.742244031968493,0.597010170221483,2.58472966911141,-5.23178758266896,1.71773149272819,6.94951907539715,3.25699935809611,4.94423990890537,3.10891490326812,-1.83532500563726,9.81491213115517,8.20736408264333,1.65682252894597,0.3359375,0.359375,0.3671875,1.22361094731062,0.782394507509346,-0.441216439801278,-5.21114107650974,0.140625,1.57019211628118,0.582389946529657,-0.987802169751521,-1.47603761696832,-6.61057238197268,-5.13453476500437,-0.889854672737299,-0.572910325047704,0.988781813034749,0.990915415145734,0.92955620463929,2.6831368406385,-2.15078442925871,-0.643778950386288,2.17530293242981,0,0,0,2.22649130569588,2,0.984940963569356
A,1,F3,0.25,41,39,11.3694146358668,8.73463732608013,129.29527918167,2419.9485833697,-0.248635267077645,0.317413453245359,0.152286302573094,10.7863707791538,-19.2321960915041,20.0050368673839,39.237232958888,9.38903318057959,-7.06275043335513,-5.0604833710653,2.00226706228983,-4.97015265934615,-1.39319323649908,5.15228550358084,0.49609375,0.38671875,0.41796875,-1.74035337728776,-1.22703369358,0.513319683707765,-5.98189618443221,0.828125,7.75532767898349,-0.206377483389513,-7.96170516237301,-8.66560535981205,7.15857602501915,15.8241813848312,-8.28249528477327,-7.2636497478212,0.825995771041146,0.943743118998239,0.790860091568161,9.80406623521201,9.18469325799152,-1.70652345632138,-10.2143426074204,113.28125,31.25,70.3125,8.29539536107851,6,0.9148914350256
A,1,F4,0.25,41,39,11.5061345660501,9.04713364911886,132.423589414165,2728.04460127579,-0.446971606592859,0.63889272816511,0.40790169399578,12.9786646221989,-13.037338695691,22.8408014841001,35.8781401797911,9.79200935825419,-5.94026681962509,-0.20854396303328,5.73172285659181,-3.33455410271291,3.97016833286366,8.42837248524671,0.37109375,0.3671875,0.4140625,-1.45559320481326,-0.0317349175839265,1.42385828722933,0.792394276969326,1,1.85991304853767,-0.199340019679447,-2.05925306821712,0.438633783595285,5.78180851756013,5.34317473396484,-0.838996665368436,-3.09787468706875,0.78140669412217,0.726383239502126,0.893039851914426,4.85920481685172,6.19524335493345,3.8032491633557,-5.9919564884503,-7.8125,15.625,0,3.04096224947549,3,0.894504710058994
A,1,Fz,0.5,41,39,8.37193295291888,7.5245427445849,70.1064443202083,85.3673419199707,-0.246903941767205,0.680266145945474,0.628038978734637,2.48088513837132,-3.06247240874521,4.08173808537216,7.14421049411737,2.97356651059105,0.86082146366868,1.43258313776458,0.571761674095899,6.32548412016701,6.40419251192223,3.79800180894903,0.3359375,0.36328125,0.37109375,0.22064504278213,0.37003022142238,0.149385178640249,-2.99004590604281,0.546875,1.98002613557619,1.15102814268989,-0.828997992886307,-2.62125370866165,-5.52681173625624,-2.90555802759459,-0.716531069376101,-0.316697466842969,0.860362255456599,0.959452629598634,0.493278975509491,5.61975904550033,-5.64021244024688,-2.44695052110739,4.31648221243287,0,3.90625,3.90625,2.00646920601547,4,0.874925074050488
