record,task,channel,templateHp,replicate,highpass,condition,nReference,nValidation,seed,waveformRmse,waveformR,referenceMean250_500,recoveredMean250_500,meanError250_500,referencePeak250_500,recoveredPeak250_500,peakError,referenceLatencySec,recoveredLatencySec,latencyErrorSec,preStimRmse,postStimRmse,deltaMeanError250_500,driftAmplitude,shiftSd,coloredNoiseSd,spikeAmplitude,burstAmplitude
VisualCogA_Task-1,1,Fz,0.1,1,0.1,Left,20,15,20261924,0.858460095184317,0.978339559050094,7.72519931910188,7.87940257714974,0.154203258047856,12.214319529952,12.4654103227561,0.251090792804131,0.328125,0.328125,0,0.639927939275466,0.904444832561709,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.1,Right,15,18,20261924,1.00917229953942,0.982528229589159,5.6865205622929,6.55295477217017,0.866434209877268,13.324670603955,14.0709740718357,0.746303467880711,0.3515625,0.3515625,0,0.552258988161893,1.09318652011821,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.1,Delta,35,33,20261924,1.26011986927698,0.959763081785,-2.03867875680898,-1.32644780497957,0.712230951829413,4.60690103174667,5.16487435674444,0.557973324997768,0.36328125,0.359375,-0.00390625,0.835008032581158,1.34476994223515,0.712230951829413,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,F3,0.1,1,0.1,Left,20,15,20261924,1.34634776237225,0.885511480530842,-0.32930408073945,-0.173515930976862,0.155788149762588,1.81946204864517,4.95661026208281,3.13714821343764,0.2890625,0.28515625,-0.00390625,0.573184530095158,1.47650873078495,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.1,Right,15,18,20261924,1.11701020200642,0.979728545779805,5.45900644678631,4.68814407736749,-0.770862369418817,9.86434421724149,7.76994271496614,-2.09440150227535,0.35546875,0.3125,-0.04296875,0.883956399759032,1.1675457739013,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.1,Delta,35,33,20261924,1.64303976963479,0.946914619676038,5.78831052752576,4.86166000834436,-0.926650519181403,10.6527515621544,10.455059085492,-0.197692476662342,0.359375,0.35546875,-0.00390625,0.982581807740836,1.76886936831903,-0.926650519181403,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F4,0.1,1,0.1,Left,20,15,20261924,1.91669919135598,0.97445134028377,2.65704805539177,2.79269361654439,0.135645561152615,5.96840461267257,5.6995380849654,-0.26886652770717,0.30859375,0.3125,0.00390625,0.321491236044217,2.13486875828362,NaN,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,F4,0.1,1,0.1,Right,15,18,20261924,0.82727933967983,0.995696283241011,15.0590183087038,15.5810676184622,0.522049309758462,19.6451374289128,20.3696946925775,0.7245572636647,0.359375,0.328125,-0.03125,0.726553392455133,0.850375824310578,NaN,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,F4,0.1,1,0.1,Delta,35,33,20261924,1.93746743870212,0.975518226461133,12.401970253312,12.7883740019179,0.386403748605851,19.8880848944705,18.6160964217787,-1.27198847269182,0.25390625,0.36328125,0.109375,0.665438585439959,2.13857116518027,0.386403748605851,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,Fz,0.1,1,0.2,Left,20,15,20261924,0.876010543141038,0.977039810097939,7.72519931910188,7.89279777944226,0.167598460340379,12.214319529952,12.4775985112081,0.263278981256091,0.328125,0.328125,0,0.661022517490101,0.921522300130392,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.2,Right,15,18,20261924,1.03250873205614,0.98228451396643,5.6865205622929,6.51556259566447,0.82904203337157,13.324670603955,14.0751044609745,0.750433857019519,0.3515625,0.3515625,0,0.557124863382849,1.11944702158536,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.2,Delta,35,33,20261924,1.24958744377138,0.959607335284546,-2.03867875680898,-1.37723518377779,0.661443573031192,4.60690103174667,5.22553773402745,0.618636702280783,0.36328125,0.359375,-0.00390625,0.853978382423349,1.32947219873521,0.661443573031192,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,F3,0.1,1,0.2,Left,20,15,20261924,1.13136496164435,0.923281989009185,-0.32930408073945,0.0620396184766712,0.391343699216121,1.81946204864517,4.6288502988078,2.80938825016263,0.2890625,0.28515625,-0.00390625,0.543067691627912,1.23444796718979,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.2,Right,15,18,20261924,1.24672322145519,0.977622320300935,5.45900644678631,4.11584872379341,-1.34315772299291,9.86434421724149,7.33725119389361,-2.52709302334787,0.35546875,0.3125,-0.04296875,0.902092746008838,1.3182026447903,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.2,Delta,35,33,20261924,1.60611789131044,0.955016331068093,5.78831052752576,4.05380910531673,-1.73450142220903,10.6527515621544,9.26458806957467,-1.38816349257968,0.359375,0.35546875,-0.00390625,1.0091706386864,1.722243511256,-1.73450142220903,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F4,0.1,1,0.2,Left,20,15,20261924,2.26210993103821,0.972138592947457,2.65704805539177,2.25149502363336,-0.405553031758419,5.96840461267257,5.15005985249793,-0.818344760174641,0.30859375,0.3125,0.00390625,0.3079859402321,2.52200769739449,NaN,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,F4,0.1,1,0.2,Right,15,18,20261924,1.48042337124035,0.993309515807566,15.0590183087038,14.1574276587789,-0.90159064992484,19.6451374289128,18.7256247573934,-0.919512671519335,0.359375,0.328125,-0.03125,0.780946956054348,1.60725166056294,NaN,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,F4,0.1,1,0.2,Delta,35,33,20261924,1.7044343491566,0.976575261932473,12.401970253312,11.9059326351456,-0.496037618166421,19.8880848944705,17.7504956776781,-2.13758921679245,0.25390625,0.36328125,0.109375,0.684788183128135,1.87302531635678,-0.496037618166421,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,Fz,0.1,1,0.25,Left,20,15,20261924,0.908501394980637,0.975350939422446,7.72519931910188,7.80476107722835,0.0795617581264718,12.214319529952,12.3897733193101,0.175453789358142,0.328125,0.32421875,-0.00390625,0.670165575195062,0.95839697993402,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.25,Right,15,18,20261924,1.02663483090552,0.982207900228856,5.6865205622929,6.45729504404373,0.770774481750832,13.324670603955,14.0122903590194,0.687619755064473,0.3515625,0.3515625,0,0.555835614629484,1.1128464504386,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.25,Delta,35,33,20261924,1.26678106619369,0.959209825103792,-2.03867875680898,-1.34746603318462,0.691212723624361,4.60690103174667,5.25550436422767,0.648603332480997,0.36328125,0.359375,-0.00390625,0.861630451224706,1.34841501445001,0.691212723624361,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,F3,0.1,1,0.25,Left,20,15,20261924,1.11960016131458,0.928206351040802,-0.32930408073945,0.0768005568137863,0.406104637553236,1.81946204864517,4.53591644701643,2.71645439837126,0.2890625,0.28515625,-0.00390625,0.517716243917379,1.22371614193452,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.25,Right,15,18,20261924,1.42019174615168,0.974478989423611,5.45900644678631,3.82842903090058,-1.63057741588574,9.86434421724149,7.18423019084154,-2.68011402639994,0.35546875,0.3125,-0.04296875,0.910426730634851,1.52022296957117,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.25,Delta,35,33,20261924,1.80291626626308,0.949665916665624,5.78831052752576,3.75162847408679,-2.03668205343897,10.6527515621544,8.86767408186383,-1.78507748029052,0.359375,0.35546875,-0.00390625,1.00837583696384,1.95025813822133,-2.03668205343897,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F4,0.1,1,0.25,Left,20,15,20261924,2.71009111099994,0.967463036533972,2.65704805539177,1.64957906654877,-1.00746898884301,5.96840461267257,4.60246677078215,-1.36593784189043,0.30859375,0.3125,0.00390625,0.324216266520876,3.02272917954224,NaN,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,F4,0.1,1,0.25,Right,15,18,20261924,2.2423136227794,0.989028138784577,15.0590183087038,13.1882956279579,-1.8707226807459,19.6451374289128,17.7934451326356,-1.85169229627717,0.359375,0.328125,-0.03125,0.845015340508227,2.4690037604082,NaN,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,F4,0.1,1,0.25,Delta,35,33,20261924,1.69160947846897,0.97632476926194,12.401970253312,11.5387165614091,-0.863253691902896,19.8880848944705,17.3750982851531,-2.51298660931739,0.25390625,0.36328125,0.109375,0.712853343418914,1.85584919059345,-0.863253691902896,45.5252918287938,45.5252918287938,5.0571942213064,26.8558785381857,15.1715826639192
VisualCogA_Task-1,1,Fz,0.1,1,0.5,Left,20,15,20261924,1.44970788500055,0.955909306997058,7.72519931910188,6.56530639586646,-1.15989292323543,12.214319529952,11.1480149434908,-1.06630458646118,0.328125,0.32421875,-0.00390625,0.722682859894742,1.57881762983581,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.5,Right,15,18,20261924,0.916078789521393,0.98392007642512,5.6865205622929,5.43191254262541,-0.254608019667488,13.324670603955,12.9781909840331,-0.346479619921819,0.3515625,0.3515625,0,0.531397902529651,0.988459916443432,NaN,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,Fz,0.1,1,0.5,Delta,35,33,20261924,1.33109058629891,0.957108448516473,-2.03867875680898,-1.13339385324104,0.905284903567937,4.60690103174667,5.38542888151425,0.778527849767586,0.36328125,0.359375,-0.00390625,0.902629939161039,1.41730184504836,0.905284903567937,9.86363927672233,19.7272785534447,4.24460069374697,21.2405584802016,12.7338020812409
VisualCogA_Task-1,1,F3,0.1,1,0.5,Left,20,15,20261924,1.39880414357655,0.922937111669632,-0.32930408073945,0.893728072574838,1.22303215331429,1.81946204864517,5.29539598972655,3.47593394108138,0.2890625,0.28515625,-0.00390625,0.613152897620222,1.53231541433768,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
VisualCogA_Task-1,1,F3,0.1,1,0.5,Right,15,18,20261924,2.43887176244063,0.948497128280138,5.45900644678631,2.3706376033592,-3.08836884342711,9.86434421724149,5.93169221998352,-3.93265199725796,0.35546875,0.3125,-0.04296875,0.997717409813831,2.67847686684386,NaN,39.9557488364996,39.9557488364996,4.89827895547104,29.5567254139009,14.6948368664131
