record,task,window,electrode,condition,estimate,ciLow,ciHigh,nLeft,nRight
VisualCogA_Task-2,2,late_250_500ms,F3_minus_F4,right,12.1293106069918,-4.56178675001387,31.3789864002191,51,42
VisualCogA_Task-2,2,late_250_500ms,F3_minus_F4,right_minus_left,26.8689225053545,4.69074678031348,53.5831012234103,51,42
VisualCogB_Task-1,1,early_100_250ms,Fz,left,7.43938974858371,-1.40778101933405,16.4999391146778,41,46
VisualCogB_Task-1,1,early_100_250ms,Fz,right,7.45089367556501,-2.9551457290227,24.9485918675129,41,46
VisualCogB_Task-1,1,early_100_250ms,Fz,right_minus_left,0.0115039269812955,-14.7966997040092,23.0699111255847,41,46
VisualCogB_Task-1,1,early_100_250ms,F3,left,-7.84910055981198,-21.992725845081,7.44884575070621,41,46
VisualCogB_Task-1,1,early_100_250ms,F3,right,-8.49647400672738,-23.9354051465122,3.24588644837445,41,46
VisualCogB_Task-1,1,early_100_250ms,F3,right_minus_left,-0.647373446915402,-20.556515439016,19.5857021857683,41,46
VisualCogB_Task-1,1,early_100_250ms,F4,left,6.9481014724171,-4.02460509661519,20.128480053789,41,46
VisualCogB_Task-1,1,early_100_250ms,F4,right,-8.67816998286838,-23.6508263549498,4.84099958795029,41,46
VisualCogB_Task-1,1,early_100_250ms,F4,right_minus_left,-15.6262714552855,-36.112430759131,1.14007866645474,41,46
VisualCogB_Task-1,1,early_100_250ms,F3_minus_F4,left,-14.3871522844517,-29.7900384610685,-1.32086961082682,41,46
VisualCogB_Task-1,1,early_100_250ms,F3_minus_F4,right,0.0793612853314083,-8.26268179049151,8.32822544481336,41,46
VisualCogB_Task-1,1,early_100_250ms,F3_minus_F4,right_minus_left,14.4665135697831,-1.44591341623628,31.4212589063522,41,46
VisualCogB_Task-1,1,late_250_500ms,Fz,left,15.5983662442543,1.315951713191,31.041661830335,41,46
VisualCogB_Task-1,1,late_250_500ms,Fz,right,13.5285090312155,-2.22575332753815,41.5714482585566,41,46
VisualCogB_Task-1,1,late_250_500ms,Fz,right_minus_left,-2.06985721303874,-25.0054382071501,26.0566853512792,41,46
VisualCogB_Task-1,1,late_250_500ms,F3,left,5.94893990857944,-21.8466500351501,26.7314626285281,41,46
