record,task,nLeft,nRight,meanCorrelation,ciLow,ciHigh
VisualCogA_Task-1,1,41,39,0.233447236068834,-0.734766866661283,0.868156779955842
VisualCogA_Task-2,2,51,42,0.73447450118927,-0.0185568751962447,0.963624099599649
VisualCogB_Task-1,1,41,46,0.470108747787784,-0.518908783045969,0.947954659181876
VisualCogB_Task-2,2,44,46,-0.0523756403277629,-0.894342874504098,0.743257933804306
