record,task,cueDir,electrode,timeSec,ordinaryMean,huberMean,fittedCurve
VisualCogA_Task-1,1,-1,Fz,-0.19921875,-1.20280522336467,-0.68346212773736,-0.731137134833651
VisualCogA_Task-1,1,-1,Fz,-0.1953125,-1.41132794846898,-0.799840251328335,-0.885980329588214
VisualCogA_Task-1,1,-1,Fz,-0.19140625,-1.7620248551362,-0.978143038595815,-1.03685060708475
VisualCogA_Task-1,1,-1,Fz,-0.1875,-2.15566530692685,-1.27925015822606,-1.17259671021025
VisualCogA_Task-1,1,-1,Fz,-0.18359375,-2.46128327151754,-1.23043966242815,-1.27717508447762
VisualCogA_Task-1,1,-1,Fz,-0.1796875,-2.57265798927705,-1.27096524082421,-1.34342996273442
VisualCogA_Task-1,1,-1,Fz,-0.17578125,-2.45387744803373,-1.38455939140567,-1.36031095932408
VisualCogA_Task-1,1,-1,Fz,-0.171875,-2.15031478729492,-1.57189589671713,-1.31072896176419
VisualCogA_Task-1,1,-1,Fz,-0.16796875,-1.76339192851786,-1.58546224833901,-1.17961556024579
VisualCogA_Task-1,1,-1,Fz,-0.1640625,-1.40720056280877,-1.17718890604935,-0.973666256206024
VisualCogA_Task-1,1,-1,Fz,-0.16015625,-1.16742273443989,-0.620357997718276,-0.733397108423111
VisualCogA_Task-1,1,-1,Fz,-0.15625,-1.07530962055522,-0.204610264844741,-0.516284396495562
VisualCogA_Task-1,1,-1,Fz,-0.15234375,-1.10476222049199,-0.0344729608398661,-0.370384474129812
VisualCogA_Task-1,1,-1,Fz,-0.1484375,-1.19508543081985,-0.0158473982230329,-0.317780850728066
VisualCogA_Task-1,1,-1,Fz,-0.14453125,-1.28698664333203,-0.317116608470722,-0.352564409585027
VisualCogA_Task-1,1,-1,Fz,-0.140625,-1.34732680349948,-0.4519461180705,-0.443664912953319
VisualCogA_Task-1,1,-1,Fz,-0.13671875,-1.36927616378377,-0.741958965644899,-0.557058139659368
VisualCogA_Task-1,1,-1,Fz,-0.1328125,-1.35854707564,-0.758483319034771,-0.659409968956036
VisualCogA_Task-1,1,-1,Fz,-0.12890625,-1.32227134922316,-0.761004212785874,-0.732794682261643
VisualCogA_Task-1,1,-1,Fz,-0.125,-1.2625895221065,-0.705055363068482,-0.767542673501074
VisualCogA_Task-1,1,-1,Fz,-0.12109375,-1.16956634420174,-0.728256981868693,-0.756335130809564
VisualCogA_Task-1,1,-1,Fz,-0.1171875,-1.01709244144743,-0.842719894437018,-0.686645966452965
VisualCogA_Task-1,1,-1,Fz,-0.11328125,-0.771226129545843,-0.684934147610779,-0.543609246952058
VisualCogA_Task-1,1,-1,Fz,-0.109375,-0.410349588802171,-0.614600070374093,-0.32536519949296
VisualCogA_Task-1,1,-1,Fz,-0.10546875,0.0564443492179121,-0.173381091196787,-0.0418311263166811
VisualCogA_Task-1,1,-1,Fz,-0.1015625,0.585471874756215,0.36838329580157,0.272972764429005
VisualCogA_Task-1,1,-1,Fz,-0.09765625,1.11001591281223,0.803034049816505,0.574063767522986
VisualCogA_Task-1,1,-1,Fz,-0.09375,1.55990980981707,1.02966733918442,0.824410055358526
VisualCogA_Task-1,1,-1,Fz,-0.08984375,1.88077114658394,1.13073774092344,1.00606065718668
VisualCogA_Task-1,1,-1,Fz,-0.0859375,2.04530597722465,1.22417442626746,1.11816937591068
VisualCogA_Task-1,1,-1,Fz,-0.08203125,2.0532869404497,1.22663826026131,1.17027977141179
VisualCogA_Task-1,1,-1,Fz,-0.078125,1.92712992908601,1.21396694238738,1.1807691577677
VisualCogA_Task-1,1,-1,Fz,-0.07421875,1.71355969548894,1.04253563504157,1.17271138979353
VisualCogA_Task-1,1,-1,Fz,-0.0703125,1.48719902358883,1.02516076217788,1.17194680435608
VisualCogA_Task-1,1,-1,Fz,-0.06640625,1.33695037773816,0.973904535725371,1.19346775875946
VisualCogA_Task-1,1,-1,Fz,-0.0625,1.32809925010733,1.17114624409097,1.24003444012625
VisualCogA_Task-1,1,-1,Fz,-0.05859375,1.46332130718964,1.21755321720401,1.29611010032624
VisualCogA_Task-1,1,-1,Fz,-0.0546875,1.67501005290132,1.39425100645981,1.34041730822623
VisualCogA_Task-1,1,-1,Fz,-0.05078125,1.8560890267908,1.63322315341229,1.34513222576619
VisualCogA_Task-1,1,-1,Fz,-0.046875,1.90799505353526,1.53984005717242,1.28691715640555
VisualCogA_Task-1,1,-1,Fz,-0.04296875,1.78069914481957,1.42441083072949,1.16644198090759
VisualCogA_Task-1,1,-1,Fz,-0.0390625,1.4912819055174,0.924245558529801,1.00545348843283
VisualCogA_Task-1,1,-1,Fz,-0.03515625,1.11706375907459,0.687958311619004,0.847195872293597
VisualCogA_Task-1,1,-1,Fz,-0.03125,0.767024653112625,0.473037617099208,0.728145998310312
VisualCogA_Task-1,1,-1,Fz,-0.02734375,0.543321601068164,0.447955868571806,0.671510935580512
VisualCogA_Task-1,1,-1,Fz,-0.0234375,0.506216048694102,0.550331789259086,0.679238721434139
VisualCogA_Task-1,1,-1,Fz,-0.01953125,0.650496506453063,0.662430678773516,0.734647804283745
VisualCogA_Task-1,1,-1,Fz,-0.015625,0.899704681392618,0.948284058272676,0.81031438819396
VisualCogA_Task-1,1,-1,Fz,-0.01171875,1.12815267460825,1.1422190471928,0.872796583436894
VisualCogA_Task-1,1,-1,Fz,-0.0078125,1.21525598944384,1.20101995038592,0.90014997279122
VisualCogA_Task-1,1,-1,Fz,-0.00390625,1.11258469776351,1.05875816278811,0.892882011015267
VisualCogA_Task-1,1,-1,Fz,0,0.881058408774142,0.847836510562839,0.876572651000256
VisualCogA_Task-1,1,-1,Fz,0.00390625,0.66522341323347,0.61378636799404,0.890624858285145
VisualCogA_Task-1,1,-1,Fz,0.0078125,0.613765206172998,0.569240315711281,0.972046920039108
VisualCogA_Task-1,1,-1,Fz,0.01171875,0.794433188429688,0.765584643958405,1.13477724924039
VisualCogA_Task-1,1,-1,Fz,0.015625,1.15504594806334,1.13555794075522,1.35918704183993
VisualCogA_Task-1,1,-1,Fz,0.01953125,1.55146482661265,1.79836582713198,1.59488144334848
VisualCogA_Task-1,1,-1,Fz,0.0234375,1.82291200860043,2.09436850344135,1.77282984085309
VisualCogA_Task-1,1,-1,Fz,0.02734375,1.8685430457096,2.24662682237187,1.84095865342275
VisualCogA_Task-1,1,-1,Fz,0.03125,1.68155462446086,2.19770680219455,1.77398918867547
VisualCogA_Task-1,1,-1,Fz,0.03515625,1.32937851946796,1.94274658986166,1.58044843497504
VisualCogA_Task-1,1,-1,Fz,0.0390625,0.907832037575517,1.44272838269343,1.30417318181181
VisualCogA_Task-1,1,-1,Fz,0.04296875,0.508624461677162,0.885148053529574,1.01919173158337
VisualCogA_Task-1,1,-1,Fz,0.046875,0.213721006366062,0.398850685300953,0.811078653427443
VisualCogA_Task-1,1,-1,Fz,0.05078125,0.0973261634664578,0.209518966132111,0.754238209977255
VisualCogA_Task-1,1,-1,Fz,0.0546875,0.21300252034695,0.287084111949099,0.888722333188837
VisualCogA_Task-1,1,-1,Fz,0.05859375,0.568257102160403,0.842939880991547,1.20918968469778
VisualCogA_Task-1,1,-1,Fz,0.0625,1.10848410739597,1.56319388368251,1.66016240770305
VisualCogA_Task-1,1,-1,Fz,0.06640625,1.72686970970905,2.46148607649582,2.15564182842807
VisualCogA_Task-1,1,-1,Fz,0.0703125,2.29864494881133,3.26242384574036,2.60154856276123
VisualCogA_Task-1,1,-1,Fz,0.07421875,2.72413760631506,3.20301968854213,2.92929024726323
VisualCogA_Task-1,1,-1,Fz,0.078125,2.96001719050923,3.42261852874415,3.12534745874302
VisualCogA_Task-1,1,-1,Fz,0.08203125,3.02335918159148,3.20315017470786,3.19901156078281
VisualCogA_Task-1,1,-1,Fz,0.0859375,2.96972280049498,3.02449442884537,3.18434650613155
VisualCogA_Task-1,1,-1,Fz,0.08984375,2.86281749497198,2.91743673788183,3.11576113203196
VisualCogA_Task-1,1,-1,Fz,0.09375,2.7519656996214,2.82360823633219,3.01434326928623
VisualCogA_Task-1,1,-1,Fz,0.09765625,2.65814085883008,2.8176492709973,2.88465371585072
VisualCogA_Task-1,1,-1,Fz,0.1015625,2.56404476660745,2.77879689156372,2.71535868360225
VisualCogA_Task-1,1,-1,Fz,0.10546875,2.41581910796919,2.71165057267563,2.48954068067991
VisualCogA_Task-1,1,-1,Fz,0.109375,2.15036128677995,2.47649199487544,2.19556873255286
VisualCogA_Task-1,1,-1,Fz,0.11328125,1.74392811665841,2.29485490881289,1.84032102235661
VisualCogA_Task-1,1,-1,Fz,0.1171875,1.25066330124154,1.61213481601602,1.45408600508685
VisualCogA_Task-1,1,-1,Fz,0.12109375,0.797143883072868,0.898704545382271,1.10502995961065
VisualCogA_Task-1,1,-1,Fz,0.125,0.529635251002204,0.389996626844824,0.874489899039172
VisualCogA_Task-1,1,-1,Fz,0.12890625,0.545721363295873,0.320633664248294,0.826609051964538
VisualCogA_Task-1,1,-1,Fz,0.1328125,0.849670404682695,0.53048592515577,0.985156207629348
VisualCogA_Task-1,1,-1,Fz,0.13671875,1.35204556979996,1.09009784888254,1.33173553963318
VisualCogA_Task-1,1,-1,Fz,0.140625,1.90977206428572,1.73529260564773,1.81006203136948
VisualCogA_Task-1,1,-1,Fz,0.14453125,2.38447589795857,2.5886793558877,2.34371419200247
VisualCogA_Task-1,1,-1,Fz,0.1484375,2.68872258997559,3.13178278099548,2.85003974521956
VisualCogA_Task-1,1,-1,Fz,0.15234375,2.80015458214335,3.57324037581011,3.26680017836527
VisualCogA_Task-1,1,-1,Fz,0.15625,2.74802810945434,3.92433860275368,3.55523556509876
VisualCogA_Task-1,1,-1,Fz,0.16015625,2.59132666605781,3.83706764329336,3.70212266219962
VisualCogA_Task-1,1,-1,Fz,0.1640625,2.40040120145319,3.8370033166328,3.72499681291866
VisualCogA_Task-1,1,-1,Fz,0.16796875,2.24181320411696,3.90766100196145,3.65263877559784
VisualCogA_Task-1,1,-1,Fz,0.171875,2.16534781019634,3.40175438619704,3.52316318388863
VisualCogA_Task-1,1,-1,Fz,0.17578125,2.19655478709106,3.18729353894738,3.39593652363947
VisualCogA_Task-1,1,-1,Fz,0.1796875,2.33664598705252,3.04297985734624,3.32020788089117
VisualCogA_Task-1,1,-1,Fz,0.18359375,2.56740148561847,3.15548845334931,3.32783942629352
VisualCogA_Task-1,1,-1,Fz,0.1875,2.85873670194445,3.18090649782428,3.4275909952009
VisualCogA_Task-1,1,-1,Fz,0.19140625,3.17796825923788,3.33554259759489,3.61385984188903
VisualCogA_Task-1,1,-1,Fz,0.1953125,3.49739047441447,3.7053298060657,3.86048617918554
VisualCogA_Task-1,1,-1,Fz,0.19921875,3.79518850677467,4.20800455529529,4.11811711622691
VisualCogA_Task-1,1,-1,Fz,0.203125,4.05190132306982,4.81045926873858,4.32447006438961
VisualCogA_Task-1,1,-1,Fz,0.20703125,4.25286644803824,4.79977770410441,4.4247530549725
VisualCogA_Task-1,1,-1,Fz,0.2109375,4.39923705788002,4.6686283168537,4.40467321963683
VisualCogA_Task-1,1,-1,Fz,0.21484375,4.51244384949581,4.35642296916351,4.28118974413818
VisualCogA_Task-1,1,-1,Fz,0.21875,4.61822498474621,4.03682933309786,4.09325807233355
VisualCogA_Task-1,1,-1,Fz,0.22265625,4.7216747809648,3.74288481810021,3.88610308349869
VisualCogA_Task-1,1,-1,Fz,0.2265625,4.80057521606365,3.63606812906897,3.70024726197307
VisualCogA_Task-1,1,-1,Fz,0.23046875,4.82712080677694,3.5756544434133,3.56427823664627
VisualCogA_Task-1,1,-1,Fz,0.234375,4.79944021957027,3.52516505688585,3.50143537533252
VisualCogA_Task-1,1,-1,Fz,0.23828125,4.75707839340242,3.34135664934256,3.53590606307666
VisualCogA_Task-1,1,-1,Fz,0.2421875,4.77027901579851,3.42776897443677,3.69385515838627
VisualCogA_Task-1,1,-1,Fz,0.24609375,4.91056742447465,3.76272404428276,3.98523506862446
VisualCogA_Task-1,1,-1,Fz,0.25,5.21849905620347,4.2920979314803,4.39782435249186
VisualCogA_Task-1,1,-1,Fz,0.25390625,5.6850254462249,4.82615534148076,4.90085898332729
VisualCogA_Task-1,1,-1,Fz,0.2578125,6.25559379453987,5.45793552008447,5.45476439938529
VisualCogA_Task-1,1,-1,Fz,0.26171875,6.85167074392473,6.18027041977677,6.01374073543316
VisualCogA_Task-1,1,-1,Fz,0.265625,7.39456767140873,6.81287741241998,6.53225238629648
VisualCogA_Task-1,1,-1,Fz,0.26953125,7.82246192317526,7.25713885399451,6.97864122049613
VisualCogA_Task-1,1,-1,Fz,0.2734375,8.10438691829404,7.44029630095183,7.34463452539662
VisualCogA_Task-1,1,-1,Fz,0.27734375,8.25434821187328,7.63477990962335,7.6451677244873
VisualCogA_Task-1,1,-1,Fz,0.28125,8.33446923021464,7.85374398201425,7.90314805588714
VisualCogA_Task-1,1,-1,Fz,0.28515625,8.43257752962226,8.00842493859257,8.14061710647643
VisualCogA_Task-1,1,-1,Fz,0.2890625,8.6193386383118,8.23046115092886,8.3754994569794
VisualCogA_Task-1,1,-1,Fz,0.29296875,8.91170398549477,8.64594217503195,8.61470367412995
VisualCogA_Task-1,1,-1,Fz,0.296875,9.26747109255833,8.96790995666199,8.85305179915777
VisualCogA_Task-1,1,-1,Fz,0.30078125,9.61420596108252,9.24899776956825,9.08796908170104
VisualCogA_Task-1,1,-1,Fz,0.3046875,9.89640333903918,9.38365925086712,9.32645228452331
VisualCogA_Task-1,1,-1,Fz,0.30859375,10.1158642529879,9.55067329828031,9.58891722771038
VisualCogA_Task-1,1,-1,Fz,0.3125,10.3385950065353,9.60802894549061,9.90054697854336
VisualCogA_Task-1,1,-1,Fz,0.31640625,10.6538335397294,9.59176793972757,10.2833376101842
VisualCogA_Task-1,1,-1,Fz,0.3203125,11.1038355436022,10.6758909987608,10.7349086930404
VisualCogA_Task-1,1,-1,Fz,0.32421875,11.6345900100958,11.1586649890951,11.1952489916481
VisualCogA_Task-1,1,-1,Fz,0.328125,12.11022680538,11.5790268792229,11.5994291293536
VisualCogA_Task-1,1,-1,Fz,0.33203125,12.3850268113169,12.4387372238174,11.8794710626236
VisualCogA_Task-1,1,-1,Fz,0.3359375,12.3811864339029,12.6887575589147,11.9656965604139
VisualCogA_Task-1,1,-1,Fz,0.33984375,12.1203846121539,12.1680090332167,11.8350329051132
VisualCogA_Task-1,1,-1,Fz,0.34375,11.6972438076993,11.6018485549018,11.5246624623187
VisualCogA_Task-1,1,-1,Fz,0.34765625,11.2226141627756,11.0320909461654,11.0995156083026
VisualCogA_Task-1,1,-1,Fz,0.3515625,10.7752471772538,10.3351450658865,10.6309548937193
VisualCogA_Task-1,1,-1,Fz,0.35546875,10.3843745184378,9.95190035283428,10.1847241473783
VisualCogA_Task-1,1,-1,Fz,0.359375,10.0426699208722,9.58572180349884,9.80191637910291
VisualCogA_Task-1,1,-1,Fz,0.36328125,9.73529064878401,9.4194282162072,9.50422261583806
VisualCogA_Task-1,1,-1,Fz,0.3671875,9.46831010823817,9.24495957408521,9.29531766989478
VisualCogA_Task-1,1,-1,Fz,0.37109375,9.28139075028112,8.9326282675576,9.17181015361495
VisualCogA_Task-1,1,-1,Fz,0.375,9.23230096882435,8.7769001843096,9.12611217135628
VisualCogA_Task-1,1,-1,Fz,0.37890625,9.35223609662793,9.02282035371184,9.13070400363839
VisualCogA_Task-1,1,-1,Fz,0.3828125,9.59474497827174,9.24021075515407,9.12896493206033
VisualCogA_Task-1,1,-1,Fz,0.38671875,9.82078723995452,9.48609096591011,9.05528393406059
VisualCogA_Task-1,1,-1,Fz,0.390625,9.84933299943524,9.26756032583951,8.85332047233549
VisualCogA_Task-1,1,-1,Fz,0.39453125,9.55362242698111,9.01584778942286,8.50263459556879
VisualCogA_Task-1,1,-1,Fz,0.3984375,8.93959077072437,8.34936918412554,8.01730634023626
VisualCogA_Task-1,1,-1,Fz,0.40234375,8.15177820494475,7.43621596885951,7.45418350896818
VisualCogA_Task-1,1,-1,Fz,0.40625,7.40596098849201,6.49893316220825,6.89778580805226
VisualCogA_Task-1,1,-1,Fz,0.41015625,6.89241329745004,5.77633966885219,6.43113564876714
VisualCogA_Task-1,1,-1,Fz,0.4140625,6.69676764302648,5.50892280615306,6.1040177219045
VisualCogA_Task-1,1,-1,Fz,0.41796875,6.76708146781923,5.56303692775132,5.91165038659638
VisualCogA_Task-1,1,-1,Fz,0.421875,6.94093197269679,5.95981260259016,5.79966075899559
VisualCogA_Task-1,1,-1,Fz,0.42578125,7.02579603518981,6.06518318089961,5.68462483368447
VisualCogA_Task-1,1,-1,Fz,0.4296875,6.89152663268694,6.14281906522656,5.4964645922116
VisualCogA_Task-1,1,-1,Fz,0.43359375,6.51806869603137,5.61210781723911,5.19681521172682
VisualCogA_Task-1,1,-1,Fz,0.4375,5.97619696178968,5.01050766024489,4.8011747421312
VisualCogA_Task-1,1,-1,Fz,0.44140625,5.37372930227924,4.33719906070968,4.35964895045185
VisualCogA_Task-1,1,-1,Fz,0.4453125,4.81447644666917,3.80266670167876,3.93978801355867
VisualCogA_Task-1,1,-1,Fz,0.44921875,4.38409021934907,3.3246399823914,3.6072712841764
VisualCogA_Task-1,1,-1,Fz,0.453125,4.14431146345406,2.97733702306449,3.41635133903978
VisualCogA_Task-1,1,-1,Fz,0.45703125,4.12085981215144,3.04463245690146,3.39772814640145
VisualCogA_Task-1,1,-1,Fz,0.4609375,4.29454889548002,3.39611153120758,3.54551714818278
VisualCogA_Task-1,1,-1,Fz,0.46484375,4.61241171216848,3.85670677711733,3.8244091455135
VisualCogA_Task-1,1,-1,Fz,0.46875,5.01661410580263,4.2333819648123,4.18664447144203
VisualCogA_Task-1,1,-1,Fz,0.47265625,5.47023668155321,4.77544916145304,4.58715492831713
VisualCogA_Task-1,1,-1,Fz,0.4765625,5.96191578778632,5.10039191356068,4.98476710960177
VisualCogA_Task-1,1,-1,Fz,0.48046875,6.48789207339918,5.33136495088581,5.35399879485353
VisualCogA_Task-1,1,-1,Fz,0.484375,7.02508442364125,5.6633676800209,5.67900316395994
VisualCogA_Task-1,1,-1,Fz,0.48828125,7.51725893919542,6.04109156746535,5.94204724314453
VisualCogA_Task-1,1,-1,Fz,0.4921875,7.89131188625024,6.30833039797434,6.1240951016359
VisualCogA_Task-1,1,-1,Fz,0.49609375,8.09638799870126,6.28351921815497,6.21436450235608
VisualCogA_Task-1,1,-1,Fz,0.5,8.13320351861191,6.21876046386956,6.21742614958861
VisualCogA_Task-1,1,-1,Fz,0.50390625,8.04582239953908,6.1430575102977,6.14361364060028
VisualCogA_Task-1,1,-1,Fz,0.5078125,7.88363564730702,6.00290225783881,6.00337176551462
VisualCogA_Task-1,1,-1,Fz,0.51171875,7.66941565194933,6.00321102166227,5.80709897026328
VisualCogA_Task-1,1,-1,Fz,0.515625,7.40112363257731,5.83266593793113,5.56515457513825
VisualCogA_Task-1,1,-1,Fz,0.51953125,7.08424126830658,5.4717246530375,5.30424057138144
VisualCogA_Task-1,1,-1,Fz,0.5234375,6.76877356485911,5.11232519140426,5.07335156380082
VisualCogA_Task-1,1,-1,Fz,0.52734375,6.56167565370762,4.53391061100952,4.93543916400906
VisualCogA_Task-1,1,-1,Fz,0.53125,6.59556736781289,4.47418189400817,4.95670278591909
VisualCogA_Task-1,1,-1,Fz,0.53515625,6.95755809815196,4.64893385629313,5.16988113069388
VisualCogA_Task-1,1,-1,Fz,0.5390625,7.61579515181309,5.24206683575843,5.56750282517049
VisualCogA_Task-1,1,-1,Fz,0.54296875,8.40117465310356,6.08959514337364,6.09868422331926
VisualCogA_Task-1,1,-1,Fz,0.546875,9.07474031984836,6.89995214726776,6.68542201332618
VisualCogA_Task-1,1,-1,Fz,0.55078125,9.44630391484091,7.51222941804407,7.24895546004843
VisualCogA_Task-1,1,-1,Fz,0.5546875,9.46669591716177,7.94757519345661,7.72840133950501
VisualCogA_Task-1,1,-1,Fz,0.55859375,9.23934534389883,8.2801040595369,8.08481592421454
VisualCogA_Task-1,1,-1,Fz,0.5625,8.95792959692913,8.45568398732539,8.29751997452492
VisualCogA_Task-1,1,-1,Fz,0.56640625,8.81444008940977,8.53789328515957,8.36210826206094
VisualCogA_Task-1,1,-1,Fz,0.5703125,8.91992362184928,8.31190528218693,8.28735589284741
VisualCogA_Task-1,1,-1,Fz,0.57421875,9.26527669690428,8.09987674296837,8.09668672483405
VisualCogA_Task-1,1,-1,Fz,0.578125,9.73539494321404,7.98954530251784,7.81557039841549
VisualCogA_Task-1,1,-1,Fz,0.58203125,10.1691286834928,7.68494702235696,7.46974238883094
VisualCogA_Task-1,1,-1,Fz,0.5859375,10.4349689279267,7.1863456921828,7.09943607999476
VisualCogA_Task-1,1,-1,Fz,0.58984375,10.4859684971386,6.57510222420778,6.76281857528184
VisualCogA_Task-1,1,-1,Fz,0.59375,10.3710725945032,6.19396701412913,6.52529944574939
VisualCogA_Task-1,1,-1,Fz,0.59765625,10.2026567833281,5.9952475576271,6.43664523319844
