record,task,cueDir,nTrials,corrFzF3,corrFzF4,corrF3F4,commonLateMean,lateralLateMean
VisualCogA_Task-1,1,-1,41,0.984706977521899,0.973495343588971,0.967380155167507,1.9140571882934,-0.93002081154791
VisualCogA_Task-1,1,1,39,0.912142748219097,0.971316939066786,0.908005986752426,-1.58041809747239,-2.20840274108264
VisualCogA_Task-2,2,-1,51,0.983914319590189,0.999662753428067,0.983413226022009,51.6999729808084,-12.8325154606014
VisualCogA_Task-2,2,1,42,0.977085262881355,0.996881618972873,0.960656736202799,63.9280165306077,-2.41303440542191
VisualCogB_Task-1,1,-1,41,0.913667291213552,0.970779367976001,0.977311100563931,13.6761929294729,-3.69244910844087
VisualCogB_Task-1,1,1,46,0.972730495388055,0.978332818321055,0.991961726861398,12.422233298811,-1.89323611163295
VisualCogB_Task-2,2,-1,44,0.965840077523016,0.998190242364954,0.973303341445819,43.5436524651771,-23.6266264481095
VisualCogB_Task-2,2,1,46,0.998955401738556,0.998169004694568,0.998167531527544,60.1436241681369,-25.8270453076849
