record,task,cueDir,nTrials,meanCorrelation,ciLow,ciHigh
VisualCogA_Task-1,1,-1,41,0.653674994601329,0.255178145952499,0.842237515008003
VisualCogA_Task-1,1,1,39,0.617238433745983,0.14227263741216,0.871944499401802
VisualCogA_Task-2,2,-1,51,0.930327959036864,0.862893218759019,0.983740641861906
VisualCogA_Task-2,2,1,42,0.93251156809069,0.770885114354509,0.985000443929675
VisualCogB_Task-1,1,-1,41,0.637901648463555,0.156185632866036,0.91726192189278
VisualCogB_Task-1,1,1,46,0.725047398013509,0.305878098018704,0.929747400411351
VisualCogB_Task-2,2,-1,44,0.873882338443369,0.567608804991721,0.981889549618722
VisualCogB_Task-2,2,1,46,0.951544932327653,0.880726299927635,0.988050954011618
