record,task,cueDir,timeSec,commonMode,midlineContrast,lateralContrast
VisualCogA_Task-1,1,-1,-0.19921875,1.24051313217271,-1.30560743310139,1.65692535929014
VisualCogA_Task-1,1,-1,-0.1953125,0.966593756974371,-1.11329293767105,1.28680230145506
VisualCogA_Task-1,1,-1,-0.19140625,0.700166379291194,-0.927562873829479,0.937735913258577
VisualCogA_Task-1,1,-1,-0.1875,0.456910213453316,-0.762124370587078,0.64940921876196
VisualCogA_Task-1,1,-1,-0.18359375,0.263010521862114,-0.63859454591424,0.458769603770747
VisualCogA_Task-1,1,-1,-0.1796875,0.139785809803496,-0.582935380558859,0.368014134845781
VisualCogA_Task-1,1,-1,-0.17578125,0.101810310372595,-0.601669536441743,0.34793665630012
VisualCogA_Task-1,1,-1,-0.171875,0.156365940075199,-0.683348266171014,0.351495959211167
VisualCogA_Task-1,1,-1,-0.16796875,0.298811406719164,-0.802594966005171,0.329701181977542
VisualCogA_Task-1,1,-1,-0.1640625,0.502571222312476,-0.925333046905217,0.252742931838366
VisualCogA_Task-1,1,-1,-0.16015625,0.72284813763789,-1.02652554090588,0.102491286397769
VisualCogA_Task-1,1,-1,-0.15625,0.904865519004248,-1.08757639489587,-0.106046657153645
VisualCogA_Task-1,1,-1,-0.15234375,1.00389116241107,-1.10208586996703,-0.331427060899441
VisualCogA_Task-1,1,-1,-0.1484375,1.00363283918473,-1.07560094665022,-0.529662695207749
VisualCogA_Task-1,1,-1,-0.14453125,0.915151931125705,-1.02324726327537,-0.668034875030142
VisualCogA_Task-1,1,-1,-0.140625,0.768003608715803,-0.959893021964239,-0.729783679337858
VisualCogA_Task-1,1,-1,-0.13671875,0.599221006226146,-0.901884746311286,-0.710623159980753
VisualCogA_Task-1,1,-1,-0.1328125,0.440152026848582,-0.861200932036818,-0.623765126335524
VisualCogA_Task-1,1,-1,-0.12890625,0.310192441114402,-0.840156972005495,-0.492120513115802
VisualCogA_Task-1,1,-1,-0.125,0.216418431371756,-0.83275616450989,-0.330601344519392
VisualCogA_Task-1,1,-1,-0.12109375,0.159333325539493,-0.826207544781242,-0.147044236891724
VisualCogA_Task-1,1,-1,-0.1171875,0.145916443367269,-0.804921597899993,0.0527493716293165
VisualCogA_Task-1,1,-1,-0.11328125,0.186947932659218,-0.754216011827397,0.240296873071378
VisualCogA_Task-1,1,-1,-0.109375,0.278260089773965,-0.662609339801632,0.383950088161832
VisualCogA_Task-1,1,-1,-0.10546875,0.398580455430642,-0.510847638822491,0.475052883867085
VisualCogA_Task-1,1,-1,-0.1015625,0.51601211950018,-0.30293144713505,0.533394225398077
VisualCogA_Task-1,1,-1,-0.09765625,0.600462725037389,-0.0639425715209835,0.573692931224704
VisualCogA_Task-1,1,-1,-0.09375,0.628837006252698,0.182173937692956,0.576692112999075
VisualCogA_Task-1,1,-1,-0.08984375,0.591945634389418,0.421270570418014,0.500854543248868
VisualCogA_Task-1,1,-1,-0.0859375,0.501580024075558,0.634055969958782,0.344794155607788
VisualCogA_Task-1,1,-1,-0.08203125,0.378590810358289,0.803290027346276,0.151902684998599
VisualCogA_Task-1,1,-1,-0.078125,0.247687482566311,0.921177581490832,-0.00621743326485127
VisualCogA_Task-1,1,-1,-0.07421875,0.133609858731721,0.986149297059399,-0.0694159876669352
VisualCogA_Task-1,1,-1,-0.0703125,0.0571627996204621,1.00913604016364,-0.0141772134147922
VisualCogA_Task-1,1,-1,-0.06640625,0.022855236502556,1.01292712437211,0.143210820282088
VisualCogA_Task-1,1,-1,-0.0625,0.016413036335485,1.02486413663096,0.355766816962285
VisualCogA_Task-1,1,-1,-0.05859375,0.00806276730923465,1.06425272696771,0.566462698034136
VisualCogA_Task-1,1,-1,-0.0546875,-0.034129864842376,1.13576126608619,0.729726422521424
VisualCogA_Task-1,1,-1,-0.05078125,-0.13606816410518,1.23416377758611,0.82600801633194
VisualCogA_Task-1,1,-1,-0.046875,-0.308324684355665,1.33620690923656,0.851300252630029
VisualCogA_Task-1,1,-1,-0.04296875,-0.537728470693564,1.41641909402916,0.79971974815591
VisualCogA_Task-1,1,-1,-0.0390625,-0.791501095993119,1.46151947016357,0.664403802560239
VisualCogA_Task-1,1,-1,-0.03515625,-1.02904880907591,1.47114511137689,0.451366228027226
VisualCogA_Task-1,1,-1,-0.03125,-1.21356202378757,1.45596804634858,0.190875028935299
VisualCogA_Task-1,1,-1,-0.02734375,-1.3219862691259,1.43157646797049,-0.0847301809737624
VisualCogA_Task-1,1,-1,-0.0234375,-1.35224025467857,1.40996941025244,-0.346275925529605
VisualCogA_Task-1,1,-1,-0.01953125,-1.32941614676841,1.4016510598454,-0.560199701745125
VisualCogA_Task-1,1,-1,-0.015625,-1.2932195129853,1.4094028890655,-0.685408453220942
VisualCogA_Task-1,1,-1,-0.01171875,-1.28253054891177,1.43042871252647,-0.689701667758418
VisualCogA_Task-1,1,-1,-0.0078125,-1.31748641544066,1.46214518365978,-0.572882330286922
VisualCogA_Task-1,1,-1,-0.00390625,-1.39634612801185,1.50825923780612,-0.36911503917012
VisualCogA_Task-1,1,-1,0,-1.49961755747834,1.57590594400693,-0.138617912507488
VisualCogA_Task-1,1,-1,0.00390625,-1.59685008230098,1.66933778581061,0.0579978737581985
VisualCogA_Task-1,1,-1,0.0078125,-1.65897714781266,1.78510135264975,0.18289752185913
VisualCogA_Task-1,1,-1,0.01171875,-1.66885245360532,1.91101726874139,0.222459868184348
VisualCogA_Task-1,1,-1,0.015625,-1.62963109968577,2.0289419370936,0.190360034075581
VisualCogA_Task-1,1,-1,0.01953125,-1.56948518379129,2.12016977697322,0.116481454067738
VisualCogA_Task-1,1,-1,0.0234375,-1.53126408227597,2.16646873249854,0.0496976865244103
VisualCogA_Task-1,1,-1,0.02734375,-1.55595905361214,2.1643220715078,0.0388925042710544
VisualCogA_Task-1,1,-1,0.03125,-1.67015568904181,2.13213622350099,0.126866650504226
VisualCogA_Task-1,1,-1,0.03515625,-1.87616374367428,2.09856267444917,0.322980477797258
VisualCogA_Task-1,1,-1,0.0390625,-2.14773270996346,2.08620531720392,0.599253132030766
VisualCogA_Task-1,1,-1,0.04296875,-2.43154445769774,2.10852005883043,0.894463574238809
VisualCogA_Task-1,1,-1,0.046875,-2.66163656904571,2.175724580206,1.15419895372615
VisualCogA_Task-1,1,-1,0.05078125,-2.78234327210531,2.29844793325264,1.35391101301509
VisualCogA_Task-1,1,-1,0.0546875,-2.76656223019463,2.47525713094877,1.5087365194896
VisualCogA_Task-1,1,-1,0.05859375,-2.62050270755054,2.68716159819816,1.62910391459749
VisualCogA_Task-1,1,-1,0.0625,-2.3906791462058,2.91562456001712,1.69882965332111
VisualCogA_Task-1,1,-1,0.06640625,-2.14716731225996,3.14332862489339,1.69916566319647
VisualCogA_Task-1,1,-1,0.0703125,-1.95913603881724,3.35885605178929,1.59230667514478
VisualCogA_Task-1,1,-1,0.07421875,-1.86974738623004,3.56021695025186,1.35953271687898
