featureSet,record,task,nTrials,balancedAccuracy,auc,circularShiftP,nullMeanAccuracy,null95Accuracy,holmP
features,VisualCogA_Task-1,1,80,0.450281425891182,0.455284552845528,0.82,0.507670744972119,0.649041353383459,1
features,VisualCogA_Task-2,2,93,0.561624649859944,0.621381886087768,0.19,0.497447397876363,0.602143897501728,1
features,VisualCogB_Task-1,1,87,0.526511134676564,0.572110286320255,0.31,0.493983229076445,0.586178646934461,1
features,VisualCogB_Task-2,2,90,0.41897233201581,0.311264822134387,0.89,0.500653965364828,0.622222222222222,1
spatialFeatures,VisualCogA_Task-1,1,80,0.474046278924328,0.479049405878674,0.66,0.496279539970715,0.610099387177875,1
spatialFeatures,VisualCogA_Task-2,2,93,0.528011204481793,0.610177404295051,0.33,0.497944186071361,0.610399159663865,1
spatialFeatures,VisualCogB_Task-1,1,87,0.523860021208908,0.561505832449629,0.38,0.499029089906112,0.600033558173093,1
spatialFeatures,VisualCogB_Task-2,2,90,0.362154150197628,0.33300395256917,0.99,0.500062126808384,0.612694010322444,1
