record,task,window,electrode,condition,estimate,ciLow,ciHigh,nLeft,nRight
VisualCogA_Task-2,2,late_250_500ms,F3_minus_F4,right,12.1779325339688,2.15399068145782,25.0744637848255,51,42
VisualCogA_Task-2,2,late_250_500ms,F3_minus_F4,right_minus_left,10.6329339649873,-2.45964460905405,28.0984377302506,51,42
VisualCogB_Task-1,1,early_100_250ms,Fz,left,-0.395675318344071,-4.85416793501386,3.99013372551167,41,46
VisualCogB_Task-1,1,early_100_250ms,Fz,right,-1.27898834700559,-5.01935786160341,3.74125207189824,41,46
VisualCogB_Task-1,1,early_100_250ms,Fz,right_minus_left,-0.88331302866152,-6.91454532752522,5.82671973465529,41,46
VisualCogB_Task-1,1,early_100_250ms,F3,left,-10.8405971779891,-19.1129010119715,-2.56342312991417,41,46
VisualCogB_Task-1,1,early_100_250ms,F3,right,-4.23210775014642,-11.7566752633046,1.86368729375295,41,46
VisualCogB_Task-1,1,early_100_250ms,F3,right_minus_left,6.60848942784268,-4.27518335681163,17.0095244272439,41,46
VisualCogB_Task-1,1,early_100_250ms,F4,left,-4.53296801958374,-9.29127155553673,-0.0461529554075135,41,46
VisualCogB_Task-1,1,early_100_250ms,F4,right,-7.08889646193762,-12.9496179991605,-0.634404998321034,41,46
VisualCogB_Task-1,1,early_100_250ms,F4,right_minus_left,-2.55592844235389,-10.7627612128197,5.91269421990759,41,46
VisualCogB_Task-1,1,early_100_250ms,F3_minus_F4,left,-8.78352695744444,-16.2576823730178,0.520435489378537,41,46
VisualCogB_Task-1,1,early_100_250ms,F3_minus_F4,right,1.13994765809323,-4.27625057864526,6.21097071153317,41,46
VisualCogB_Task-1,1,early_100_250ms,F3_minus_F4,right_minus_left,9.92347461553767,-0.237693759958084,19.1561387775023,41,46
VisualCogB_Task-1,1,late_250_500ms,Fz,left,3.49821741571697,-1.84193846711007,11.0250785704733,41,46
VisualCogB_Task-1,1,late_250_500ms,Fz,right,-0.0883758243401578,-5.17415353343396,4.93718325640745,41,46
VisualCogB_Task-1,1,late_250_500ms,Fz,right_minus_left,-3.58659324005713,-13.220592314032,5.10360553146699,41,46
VisualCogB_Task-1,1,late_250_500ms,F3,left,-5.89786798863192,-22.6711617049269,2.71263779401189,41,46
VisualCogB_Task-1,1,late_250_500ms,F3,right,-5.28053897382401,-13.237192259257,1.44619082726716,41,46
VisualCogB_Task-1,1,late_250_500ms,F3,right_minus_left,0.617329014807903,-12.3264477336913,18.714576371231,41,46
VisualCogB_Task-1,1,late_250_500ms,F4,left,-6.7914233253942,-12.8854445565704,-0.386931798474478,41,46
VisualCogB_Task-1,1,late_250_500ms,F4,right,-9.16579834682157,-16.8303353880642,-1.7166285227994,41,46
VisualCogB_Task-1,1,late_250_500ms,F4,right_minus_left,-2.37437502142738,-12.0511318539491,7.03543939883655,41,46
VisualCogB_Task-1,1,late_250_500ms,F3_minus_F4,left,-4.74910730667943,-18.3198111299723,5.61647250523502,41,46
VisualCogB_Task-1,1,late_250_500ms,F3_minus_F4,right,2.26214041202919,-2.69270062367917,6.33282504867742,41,46
VisualCogB_Task-1,1,late_250_500ms,F3_minus_F4,right_minus_left,7.01124771870862,-3.83531934633934,21.0949369561621,41,46
VisualCogB_Task-2,2,early_100_250ms,Fz,left,-8.83980017900884,-14.0936737883531,-3.35621889316401,44,46
VisualCogB_Task-2,2,early_100_250ms,Fz,right,-10.9851399919779,-16.2458333073916,-6.24827202401094,44,46
VisualCogB_Task-2,2,early_100_250ms,Fz,right_minus_left,-2.14533981296907,-10.4337450952167,5.45540564306165,44,46
VisualCogB_Task-2,2,early_100_250ms,F3,left,-7.06411673083373,-17.071273232874,8.4844112371204,44,46
VisualCogB_Task-2,2,early_100_250ms,F3,right,-8.74602473744387,-22.761704554847,3.60876151133283,44,46
VisualCogB_Task-2,2,early_100_250ms,F3,right_minus_left,-1.68190800661015,-21.0352358966101,14.2795440536517,44,46
VisualCogB_Task-2,2,early_100_250ms,F4,left,-11.6524499443874,-22.3810342313616,3.01835741809938,44,46
VisualCogB_Task-2,2,early_100_250ms,F4,right,-12.5125228249805,-21.5960643107737,0.144166234564005,44,46
VisualCogB_Task-2,2,early_100_250ms,F4,right_minus_left,-0.860072880593092,-18.06387920328,16.8200910395404,44,46
VisualCogB_Task-2,2,early_100_250ms,F3_minus_F4,left,2.6415972718596,-6.33633417205913,8.45296839104881,44,46
VisualCogB_Task-2,2,early_100_250ms,F3_minus_F4,right,0.890094475465236,-4.4703225079741,6.57041656272344,44,46
VisualCogB_Task-2,2,early_100_250ms,F3_minus_F4,right_minus_left,-1.75150279639437,-9.80992702894056,9.68243902872078,44,46
VisualCogB_Task-2,2,late_250_500ms,Fz,left,-13.2878052768119,-22.1354499982799,-3.26272048311937,44,46
VisualCogB_Task-2,2,late_250_500ms,Fz,right,-13.6154862495298,-21.8702303775435,-6.94393229647174,44,46
VisualCogB_Task-2,2,late_250_500ms,Fz,right_minus_left,-0.327680972717891,-12.1915096358601,11.9175769796952,44,46
VisualCogB_Task-2,2,late_250_500ms,F3,left,-12.192715209703,-34.3658192083176,13.0693970508499,44,46
VisualCogB_Task-2,2,late_250_500ms,F3,right,-10.1348369005745,-26.0343757024326,5.76627138443636,44,46
VisualCogB_Task-2,2,late_250_500ms,F3,right_minus_left,2.05787830912857,-29.8242833258261,29.1946052368525,44,46
VisualCogB_Task-2,2,late_250_500ms,F4,left,-21.4565412090328,-38.1215591741592,6.80517490186651,44,46
VisualCogB_Task-2,2,late_250_500ms,F4,right,-12.0991869530588,-27.6829055659515,6.62529652449826,44,46
VisualCogB_Task-2,2,late_250_500ms,F4,right_minus_left,9.35735425597402,-21.4793728873237,36.3010887383654,44,46
VisualCogB_Task-2,2,late_250_500ms,F3_minus_F4,left,6.01473375556429,-4.1153439612142,13.9716129494465,44,46
VisualCogB_Task-2,2,late_250_500ms,F3_minus_F4,right,3.04035874449672,-7.90393109711372,10.9315442919724,44,46
VisualCogB_Task-2,2,late_250_500ms,F3_minus_F4,right_minus_left,-2.97437501106757,-15.9666638599227,10.8205382831401,44,46
