record,task,cueDir,electrode,timeSec,ordinaryMean,huberMean,fittedCurve
VisualCogA_Task-1,1,-1,Fz,-0.19921875,0.0379272906625788,0.407336694243554,0.370108176771781
VisualCogA_Task-1,1,-1,Fz,-0.1953125,-0.215380059350465,0.265663487600354,0.224398465193671
VisualCogA_Task-1,1,-1,Fz,-0.19140625,-0.611166434261278,0.144583795246466,0.0817911300715414
VisualCogA_Task-1,1,-1,Fz,-0.1875,-1.05020093098882,-0.144332687877041,-0.0511727002714025
VisualCogA_Task-1,1,-1,Fz,-0.18359375,-1.40151720988885,-0.0881358910866582,-0.162719175414046
VisualCogA_Task-1,1,-1,Fz,-0.1796875,-1.55889415478944,-0.19257430180637,-0.248837777235743
VisualCogA_Task-1,1,-1,Fz,-0.17578125,-1.48641934093945,-0.330958367500156,-0.299302713921901
VisualCogA_Task-1,1,-1,Fz,-0.171875,-1.22946543605364,-0.492810037923874,-0.299199570705477
VisualCogA_Task-1,1,-1,Fz,-0.16796875,-0.889453831745023,-0.527230007243626,-0.236251903950951
VisualCogA_Task-1,1,-1,Fz,-0.1640625,-0.580475635954013,-0.285597408142993,-0.114317475624335
VisualCogA_Task-1,1,-1,Fz,-0.16015625,-0.388212262929514,0.0614604196968905,0.0384977770339678
VisualCogA_Task-1,1,-1,Fz,-0.15625,-0.343914218996399,0.425520537483764,0.179814589073668
VisualCogA_Task-1,1,-1,Fz,-0.15234375,-0.421481795879299,0.520781312396618,0.269167249099719
VisualCogA_Task-1,1,-1,Fz,-0.1484375,-0.56021914700649,0.510550495259004,0.286565541417915
VisualCogA_Task-1,1,-1,Fz,-0.14453125,-0.70083288437905,0.310896082632414,0.232987088942125
VisualCogA_Task-1,1,-1,Fz,-0.140625,-0.810183134517934,0.0947963774482195,0.12807492740631
VisualCogA_Task-1,1,-1,Fz,-0.13671875,-0.881439288965907,-0.0681562603962126,-0.00203549131471146
VisualCogA_Task-1,1,-1,Fz,-0.1328125,-0.920312793909342,-0.215320229463656,-0.13398192784263
VisualCogA_Task-1,1,-1,Fz,-0.12890625,-0.933934508220277,-0.274432355550167,-0.249912206889261
