record,task,highPassHz,electrode,condition,nTrials,preEarlyMean,preLateMean,midMean,lateMean,lateMinusMid
VisualCogA_Task-1,1,0.1,Fz,left,39,0.24979593942779,0.0373343198669076,6.54849506589736,11.7082620193124,5.15976695341499
VisualCogA_Task-1,1,0.1,Fz,right,39,1.04079824074524,-0.0545889290150701,3.54244902997224,4.75071381469075,1.20826478471851
VisualCogA_Task-1,1,0.1,Fz,right_minus_left,39,0.791002301317445,-0.0919232488819774,-3.00604603592512,-6.9575482046216,-3.95150216869647
VisualCogA_Task-1,1,0.1,F3,left,39,17.0586266233377,1.24474339490406,-11.8915080661331,-7.73275954923902,4.15874851689403
VisualCogA_Task-1,1,0.1,F3,right,39,0.576167751587488,0.925201395718017,-3.65538802790044,-7.23542022597063,-3.58003219807019
VisualCogA_Task-1,1,0.1,F3,right_minus_left,39,-16.4824588717502,-0.319541999186038,8.23612003823261,0.49733932326839,-7.73878071496422
VisualCogA_Task-1,1,0.1,F4,left,39,7.42031502352676,1.01181497945403,-10.8153438769694,-5.20042271976654,5.61492115720286
VisualCogA_Task-1,1,0.1,F4,right,39,-0.710739380800626,0.0396510489995106,-4.10663610056769,-6.93947237289375,-2.83283627232607
VisualCogA_Task-1,1,0.1,F4,right_minus_left,39,-8.13105440432739,-0.972163930454522,6.70870777640171,-1.73904965312721,-8.44775742952892
VisualCogA_Task-1,1,0.5,Fz,left,39,2.3320476085557,0.262630911625821,0.845980859444304,3.27365548436036,2.42767462491605
VisualCogA_Task-1,1,0.5,Fz,right,39,1.62006973564253,-0.00632293967533367,1.41546569662027,1.3667126358663,-0.0487530607539697
VisualCogA_Task-1,1,0.5,Fz,right_minus_left,39,-0.711977872913165,-0.268953851301155,0.569484837175964,-1.90694284849406,-2.47642768567002
VisualCogA_Task-1,1,0.5,F3,left,39,6.26384383716506,0.584934838487446,-4.10090485335823,-0.958489199914843,3.14241565344339
VisualCogA_Task-1,1,0.5,F3,right,39,-0.731071899468523,0.810884570326543,-4.18949944974921,-7.07468964517601,-2.88519019542681
VisualCogA_Task-1,1,0.5,F3,right_minus_left,39,-6.99491573663359,0.225949731839097,-0.088594596390977,-6.11620044526117,-6.0276058488702
VisualCogA_Task-1,1,0.5,F4,left,39,0.983266802736723,0.371909758230687,-4.38967093558711,0.998745209103912,5.38841614469102
VisualCogA_Task-1,1,0.5,F4,right,39,3.36630567410656,-0.0101296527847662,-1.96440085646065,-0.981156402023342,0.983244454437308
VisualCogA_Task-1,1,0.5,F4,right_minus_left,39,2.38303887136984,-0.382039411015453,2.42527007912646,-1.97990161112725,-4.40517169025371
VisualCogA_Task-1,1,1,Fz,left,39,0.257543753618383,0.170173621264722,0.144701289342369,0.126540029313322,-0.018161260029047
VisualCogA_Task-1,1,1,Fz,right,39,-0.219756791033989,-0.058610137999441,0.798396009736929,-1.69723036321602,-2.49562637295295
VisualCogA_Task-1,1,1,Fz,right_minus_left,39,-0.477300544652371,-0.228783759264163,0.653694720394561,-1.82377039252934,-2.4774651129239
VisualCogA_Task-1,1,1,F3,left,39,1.29320933240417,0.18861801299403,0.376569696690987,-0.15341379376952,-0.529983490460508
VisualCogA_Task-1,1,1,F3,right,39,-1.40109845893507,0.509667051430741,-0.790228554196113,-3.72830085450559,-2.93807230030948
VisualCogA_Task-1,1,1,F3,right_minus_left,39,-2.69430779133924,0.321049038436711,-1.1667982508871,-3.57488706073607,-2.40808880984897
VisualCogA_Task-1,1,1,F4,left,39,-0.482707679032694,0.113468554285444,-0.532837688509846,-0.727829931057542,-0.194992242547696
VisualCogA_Task-1,1,1,F4,right,39,1.36694592054164,-0.310831340375652,0.433626440124846,-1.42245385546289,-1.85608029558773
VisualCogA_Task-1,1,1,F4,right_minus_left,39,1.84965359957433,-0.424299894661096,0.966464128634692,-0.694623924405345,-1.66108805304004
VisualCogA_Task-2,2,0.1,Fz,left,50,-3.16886859283086,-0.590241439330838,14.616803007272,93.602469724731,78.985666717459
VisualCogA_Task-2,2,0.1,Fz,right,38,-6.2150325206415,-1.45970426655845,30.8255938603811,131.98722395283,101.161630092448
VisualCogA_Task-2,2,0.1,Fz,right_minus_left,38,-3.04616392781063,-0.869462827227609,16.2087908531091,38.3847542280986,22.1759633749895
VisualCogA_Task-2,2,0.1,F3,left,50,-25.8257808104223,-1.4274027437847,19.8999054099684,85.5410550417115,65.6411496317431
VisualCogA_Task-2,2,0.1,F3,right,38,-34.7788938527311,-3.05754790615709,65.4626193147868,161.797248217879,96.3346289030925
VisualCogA_Task-2,2,0.1,F3,right_minus_left,38,-8.95311304230877,-1.63014516237239,45.5627139048184,76.2561931761677,30.6934792713493
VisualCogA_Task-2,2,0.1,F4,left,50,-8.67152601745468,-1.47884073304249,28.9489554566563,125.639873204581,96.6909177479244
VisualCogA_Task-2,2,0.1,F4,right,38,-22.3968490656707,-2.24937742901639,55.2392492363604,189.925020551348,134.685771314988
VisualCogA_Task-2,2,0.1,F4,right_minus_left,38,-13.725323048216,-0.770536695973901,26.2902937797041,64.2851473467678,37.9948535670636
VisualCogA_Task-2,2,0.5,Fz,left,50,1.49149681925185,0.447496756790426,-11.7227576956286,53.1497552126736,64.8725129083022
VisualCogA_Task-2,2,0.5,Fz,right,38,4.46755432395105,-0.0478763362936481,-8.9021725778502,58.8056984248147,67.7078710026649
VisualCogA_Task-2,2,0.5,Fz,right_minus_left,38,2.97605750469921,-0.495373093084074,2.82058511777838,5.65594321214113,2.83535809436275
VisualCogA_Task-2,2,0.5,F3,left,50,-8.65584508396141,0.0260146102157399,-9.43262383750987,49.9305635123202,59.3631873498301
VisualCogA_Task-2,2,0.5,F3,right,38,2.53535896816854,-0.367735351422111,-0.79776452224359,60.2785661096343,61.0763306318779
VisualCogA_Task-2,2,0.5,F3,right_minus_left,38,11.1912040521299,-0.393749961637851,8.63485931526628,10.3480025973141,1.71314328204781
VisualCogA_Task-2,2,0.5,F4,left,50,2.54989265451609,0.298073700163095,-12.3206924543648,64.4162227769045,76.7369152312693
VisualCogA_Task-2,2,0.5,F4,right,38,8.80946329761599,0.0883520668644077,-9.68862376563209,74.4170349017133,84.1056586673454
VisualCogA_Task-2,2,0.5,F4,right_minus_left,38,6.2595706430999,-0.209721633298687,2.63206868873269,10.0008121248088,7.36874343607614
VisualCogA_Task-2,2,1,Fz,left,50,-5.12796309897131,-0.0902749715919719,-16.9132156544715,17.5767282953872,34.4899439498588
VisualCogA_Task-2,2,1,Fz,right,38,-2.15848621386411,-0.517245130732733,-15.3302189406171,19.4282575401743,34.7584764807914
VisualCogA_Task-2,2,1,Fz,right_minus_left,38,2.9694768851072,-0.426970159140761,1.58299671385439,1.85152924478707,0.26853253093268
