record,task,cueDir,channel,nTrials,midMean,lateMean,lateMinusMid,ciLow,ciHigh,latePeak,peakTimeSec
VisualCogA_Task-1,1,-1,Fz,41,0.928141289880717,3.9746207775217,2.52537560108062,-1.8711852755582,9.00394667204094,12.7044526081957,0.77734375
VisualCogA_Task-1,1,-1,F3,41,-4.36934740975545,0.275419677025045,3.15426866236982,-3.20419759110964,10.4971298290609,8.6913874793575,0.78125
VisualCogA_Task-1,1,-1,F4,41,-4.34899191326285,2.7850638702151,5.30016707869751,-1.92305609565229,12.8201987803583,16.3328118621128,0.77734375
VisualCogA_Task-1,1,-1,common_FzF3F4,41,-2.71073895578524,1.9140571882934,3.00529381607053,-2.29014096732559,10.9813152811055,12.8101421920251,0.77734375
VisualCogA_Task-1,1,-1,F3_minus_F4,41,0.0730368561932556,-0.93002081154791,-1.71209563083628,-4.38235172901061,0.808945008125801,2.18405279055207,0.55078125
VisualCogA_Task-1,1,1,Fz,39,1.51536865127539,2.20444448120853,-0.407658982708159,-4.4146750717197,6.17888274387387,15.4568877435679,0.796875
VisualCogA_Task-1,1,1,F3,39,-4.00370786923758,-5.492340392338,-0.965737485451701,-7.9616101109705,6.47082520031667,8.62089828333398,0.796875
VisualCogA_Task-1,1,1,F4,39,-0.834803330627818,0.315873769970627,1.30735875023431,-5.28720518793019,7.57972863444123,17.4333486257691,0.796875
VisualCogA_Task-1,1,1,common_FzF3F4,39,-1.192649413746,-1.58041809747239,-0.429516757584356,-5.91087388253538,6.4167039933587,13.0462239760979,0.796875
VisualCogA_Task-1,1,1,F3_minus_F4,39,-1.23520334892693,-2.20840274108264,-1.44700472445074,-3.86609956257494,1.48801990550221,2.76961025779481,0.63671875
VisualCogA_Task-2,2,-1,Fz,51,-11.4668231165919,47.8567884587406,62.0450514832968,47.5176999248965,73.8367693372598,59.4552635885815,0.6953125
VisualCogA_Task-2,2,-1,F3,51,-10.6000758376936,45.9307826564443,58.3250215617553,45.299054493982,69.8068718788573,55.0386380098704,0.68359375
VisualCogA_Task-2,2,-1,F4,51,-10.2695312823513,58.2909641589833,73.6033197031775,52.8069940999476,88.7404632966947,73.3398848868215,0.7109375
VisualCogA_Task-2,2,-1,common_FzF3F4,51,-9.57608783388977,51.6999729808084,64.6297652171285,49.5806060135165,78.404152054293,63.1224701993718,0.69921875
VisualCogA_Task-2,2,-1,F3_minus_F4,51,1.54499856898158,-12.8325154606014,-13.7873897859526,-22.2972717913099,-5.27473470744035,2.65243459176941,0.55078125
VisualCogA_Task-2,2,1,Fz,42,-7.60582189123203,54.3876775077315,61.862642558633,45.0765996349421,82.8078120877846,67.6783534029021,0.6875
VisualCogA_Task-2,2,1,F3,42,9.21016623691292,60.9022578465335,63.7985915388852,42.0983077636014,83.7982330836699,73.9482170014469,0.6875
VisualCogA_Task-2,2,1,F4,42,-10.1343363098314,68.1405365152461,76.1524393120514,51.1435368607359,107.354492702368,88.2106719239403,0.796875
VisualCogA_Task-2,2,1,common_FzF3F4,42,-1.53768570856457,63.9280165306077,67.9069476179195,45.0958807045599,90.6327703572265,76.4463241835927,0.69140625
VisualCogA_Task-2,2,1,F3_minus_F4,42,12.1779325339688,-2.41303440542191,-14.7282756797782,-24.0984552983667,-6.52931636513165,15.4892489215644,0.55078125
VisualCogB_Task-1,1,-1,Fz,41,3.49821741571697,23.4605692581762,18.2519285249132,10.6464058222057,27.9187446418437,32.8786740849344,0.69140625
VisualCogB_Task-1,1,-1,F3,41,-5.89786798863192,8.28157663715488,19.67666130378,9.04807261844944,33.1822933324466,17.9122336969228,0.67578125
VisualCogB_Task-1,1,-1,F4,41,-6.7914233253942,11.6179250374634,19.5413804447815,8.34717779089803,30.0140013880701,19.7889717419794,0.69921875
